"punishment";"offence";"age";"tot";"length";"region";"2023"
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Ærø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Billund";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Esbjerg";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Fanø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Fredericia";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Haderslev";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Kolding";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Sønderborg";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Tønder";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Varde";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Vejen";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Vejle";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Aabenraa";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Favrskov";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Hedensted";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Horsens";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Norddjurs";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Odder";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Randers";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Samsø";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Silkeborg";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Skanderborg";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Syddjurs";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Aarhus";13
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Herning";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Holstebro";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Ikast-Brande";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Lemvig";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Ringkøbing-Skjern";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Skive";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Struer";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Viborg";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Brønderslev";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Frederikshavn";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Hjørring";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Jammerbugt";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Læsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Mariagerfjord";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Morsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Rebild";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Thisted";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Vesthimmerlands";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Aalborg";7
