"punishment";"offence";"age";"tot";"length";"region";"2023"
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Kolding";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Sønderborg";10
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Tønder";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Varde";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Vejen";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Vejle";11
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Aabenraa";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Favrskov";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Hedensted";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Horsens";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Norddjurs";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Odder";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Randers";11
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Samsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Silkeborg";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Skanderborg";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Syddjurs";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Aarhus";28
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Herning";14
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Holstebro";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Ikast-Brande";10
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Lemvig";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Ringkøbing-Skjern";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Skive";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Struer";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Viborg";17
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Brønderslev";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Frederikshavn";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Hjørring";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Jammerbugt";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Læsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Mariagerfjord";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Morsø";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Rebild";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Thisted";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Vesthimmerlands";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Aalborg";25
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">2 - 3 months";"Unknown municipality";93
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Copenhagen";56
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Frederiksberg";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Dragør";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Tårnby";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Albertslund";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Ballerup";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Brøndby";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Gentofte";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Gladsaxe";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Glostrup";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Herlev";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Hvidovre";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Høje-Taastrup";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Ishøj";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Lyngby-Taarbæk";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Rødovre";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Vallensbæk";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Allerød";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Egedal";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Fredensborg";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Frederikssund";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Furesø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Gribskov";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Halsnæs";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Helsingør";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Hillerød";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Hørsholm";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Rudersdal";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Bornholm";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Christiansø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Greve";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Køge";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Lejre";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Roskilde";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Solrød";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Faxe";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Guldborgsund";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Holbæk";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Kalundborg";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Lolland";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Næstved";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Odsherred";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Ringsted";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Slagelse";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Sorø";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Stevns";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Vordingborg";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Assens";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Faaborg-Midtfyn";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Kerteminde";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Langeland";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Middelfart";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Nordfyns";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Nyborg";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Odense";19
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Svendborg";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Ærø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Billund";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Esbjerg";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Fanø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Fredericia";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Haderslev";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Kolding";11
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Sønderborg";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Tønder";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Varde";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Vejen";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Vejle";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Aabenraa";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Favrskov";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Hedensted";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Horsens";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Norddjurs";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Odder";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Randers";12
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Samsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Silkeborg";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Skanderborg";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Syddjurs";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Aarhus";12
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Herning";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Holstebro";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Ikast-Brande";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Lemvig";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Ringkøbing-Skjern";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Skive";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Struer";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Viborg";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Brønderslev";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Frederikshavn";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Hjørring";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Jammerbugt";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Læsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Mariagerfjord";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Morsø";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Rebild";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Thisted";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Vesthimmerlands";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Aalborg";12
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">3 - 4 months";"Unknown municipality";41
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Copenhagen";69
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Frederiksberg";10
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Dragør";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Tårnby";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Albertslund";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Ballerup";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Brøndby";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Gentofte";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Gladsaxe";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Glostrup";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Herlev";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Hvidovre";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Høje-Taastrup";10
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Ishøj";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Lyngby-Taarbæk";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Rødovre";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Vallensbæk";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Allerød";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Egedal";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Fredensborg";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Frederikssund";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Furesø";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Gribskov";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Halsnæs";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Helsingør";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Hillerød";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Hørsholm";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Rudersdal";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Bornholm";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Christiansø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Greve";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Køge";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Lejre";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Roskilde";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Solrød";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Faxe";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Guldborgsund";14
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Holbæk";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Kalundborg";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Lolland";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Næstved";11
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Odsherred";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Ringsted";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Slagelse";12
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Sorø";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Stevns";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Vordingborg";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Assens";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Faaborg-Midtfyn";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Kerteminde";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Langeland";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Middelfart";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Nordfyns";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Nyborg";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Odense";14
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Svendborg";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Ærø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Billund";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Esbjerg";14
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Fanø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Fredericia";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Haderslev";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Kolding";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Sønderborg";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Tønder";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Varde";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Vejen";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Vejle";10
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Aabenraa";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Favrskov";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Hedensted";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Horsens";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Norddjurs";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Odder";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Randers";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Samsø";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Silkeborg";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Skanderborg";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Syddjurs";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Aarhus";28
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Herning";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Holstebro";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Ikast-Brande";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Lemvig";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Ringkøbing-Skjern";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Skive";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Struer";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Viborg";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Brønderslev";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Frederikshavn";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Hjørring";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Jammerbugt";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Læsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Mariagerfjord";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Morsø";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Rebild";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Thisted";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Vesthimmerlands";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Aalborg";16
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">4 - 6 months";"Unknown municipality";69
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Copenhagen";45
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Frederiksberg";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Dragør";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Tårnby";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Albertslund";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Ballerup";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Brøndby";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Gentofte";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Gladsaxe";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";">6 - 9 months";"Glostrup";3
