"sex";"offence";"region";"age";"length";"2020";"2021";"2022";"2023"
"Total";"Nature of the offence, total";"All Denmark";"17 years";">9 - 12 months";6;11;6;3
"Total";"Nature of the offence, total";"All Denmark";"17 years";">12 - 15 months";3;5;2;1
"Total";"Nature of the offence, total";"All Denmark";"17 years";">15 - 18 months";4;1;3;4
"Total";"Nature of the offence, total";"All Denmark";"17 years";">18 - 24 months";4;4;4;1
"Total";"Nature of the offence, total";"All Denmark";"17 years";">2- 3 years";3;0;3;0
"Total";"Nature of the offence, total";"All Denmark";"17 years";">3 - 4 years";2;2;1;1
"Total";"Nature of the offence, total";"All Denmark";"17 years";">4 - 5 years";0;2;0;1
"Total";"Nature of the offence, total";"All Denmark";"17 years";">5 - 6 years";0;0;1;0
"Total";"Nature of the offence, total";"All Denmark";"17 years";">6 - 8 years";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"17 years";">8 - 12 years";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"17 years";">12 year -";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"17 years";"Imprisonment for life";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"17 years";"Unknown lenght of penalty";6;3;0;3
"Total";"Nature of the offence, total";"All Denmark";"18 years";"Up to 14 days";2;5;5;12
"Total";"Nature of the offence, total";"All Denmark";"18 years";"15 - 21 days";3;0;4;3
"Total";"Nature of the offence, total";"All Denmark";"18 years";"22 - 30 days";10;14;10;10
"Total";"Nature of the offence, total";"All Denmark";"18 years";"31 - 60 days";32;19;27;30
"Total";"Nature of the offence, total";"All Denmark";"18 years";">2 - 3 months";21;15;25;20
"Total";"Nature of the offence, total";"All Denmark";"18 years";">3 - 4 months";9;20;11;13
"Total";"Nature of the offence, total";"All Denmark";"18 years";">4 - 6 months";17;25;15;23
"Total";"Nature of the offence, total";"All Denmark";"18 years";">6 - 9 months";6;17;11;15
"Total";"Nature of the offence, total";"All Denmark";"18 years";">9 - 12 months";10;20;15;11
"Total";"Nature of the offence, total";"All Denmark";"18 years";">12 - 15 months";3;7;10;9
"Total";"Nature of the offence, total";"All Denmark";"18 years";">15 - 18 months";6;4;3;6
"Total";"Nature of the offence, total";"All Denmark";"18 years";">18 - 24 months";10;2;6;4
"Total";"Nature of the offence, total";"All Denmark";"18 years";">2- 3 years";11;13;4;4
"Total";"Nature of the offence, total";"All Denmark";"18 years";">3 - 4 years";5;1;0;0
"Total";"Nature of the offence, total";"All Denmark";"18 years";">4 - 5 years";1;1;1;0
"Total";"Nature of the offence, total";"All Denmark";"18 years";">5 - 6 years";1;1;1;3
"Total";"Nature of the offence, total";"All Denmark";"18 years";">6 - 8 years";0;1;0;1
"Total";"Nature of the offence, total";"All Denmark";"18 years";">8 - 12 years";0;0;2;0
"Total";"Nature of the offence, total";"All Denmark";"18 years";">12 year -";1;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"18 years";"Imprisonment for life";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"18 years";"Unknown lenght of penalty";1;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"19 years";"Up to 14 days";14;6;10;4
"Total";"Nature of the offence, total";"All Denmark";"19 years";"15 - 21 days";8;8;13;16
"Total";"Nature of the offence, total";"All Denmark";"19 years";"22 - 30 days";14;15;17;21
"Total";"Nature of the offence, total";"All Denmark";"19 years";"31 - 60 days";43;34;34;40
"Total";"Nature of the offence, total";"All Denmark";"19 years";">2 - 3 months";32;19;23;30
"Total";"Nature of the offence, total";"All Denmark";"19 years";">3 - 4 months";19;21;17;20
"Total";"Nature of the offence, total";"All Denmark";"19 years";">4 - 6 months";18;36;21;14
"Total";"Nature of the offence, total";"All Denmark";"19 years";">6 - 9 months";19;14;14;14
"Total";"Nature of the offence, total";"All Denmark";"19 years";">9 - 12 months";13;26;12;21
"Total";"Nature of the offence, total";"All Denmark";"19 years";">12 - 15 months";11;6;8;7
"Total";"Nature of the offence, total";"All Denmark";"19 years";">15 - 18 months";8;8;3;4
"Total";"Nature of the offence, total";"All Denmark";"19 years";">18 - 24 months";9;8;0;8
"Total";"Nature of the offence, total";"All Denmark";"19 years";">2- 3 years";9;9;12;11
"Total";"Nature of the offence, total";"All Denmark";"19 years";">3 - 4 years";7;5;1;2
"Total";"Nature of the offence, total";"All Denmark";"19 years";">4 - 5 years";2;1;4;1
"Total";"Nature of the offence, total";"All Denmark";"19 years";">5 - 6 years";0;0;2;2
"Total";"Nature of the offence, total";"All Denmark";"19 years";">6 - 8 years";0;1;0;0
"Total";"Nature of the offence, total";"All Denmark";"19 years";">8 - 12 years";0;0;0;2
"Total";"Nature of the offence, total";"All Denmark";"19 years";">12 year -";1;1;0;0
"Total";"Nature of the offence, total";"All Denmark";"19 years";"Imprisonment for life";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"19 years";"Unknown lenght of penalty";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"20 years";"Up to 14 days";15;11;18;10
"Total";"Nature of the offence, total";"All Denmark";"20 years";"15 - 21 days";10;9;13;18
"Total";"Nature of the offence, total";"All Denmark";"20 years";"22 - 30 days";18;18;16;24
"Total";"Nature of the offence, total";"All Denmark";"20 years";"31 - 60 days";45;25;48;63
"Total";"Nature of the offence, total";"All Denmark";"20 years";">2 - 3 months";28;35;34;28
"Total";"Nature of the offence, total";"All Denmark";"20 years";">3 - 4 months";16;22;25;10
"Total";"Nature of the offence, total";"All Denmark";"20 years";">4 - 6 months";31;24;36;28
"Total";"Nature of the offence, total";"All Denmark";"20 years";">6 - 9 months";18;21;23;18
"Total";"Nature of the offence, total";"All Denmark";"20 years";">9 - 12 months";22;18;11;19
"Total";"Nature of the offence, total";"All Denmark";"20 years";">12 - 15 months";9;6;4;4
"Total";"Nature of the offence, total";"All Denmark";"20 years";">15 - 18 months";1;5;6;6
"Total";"Nature of the offence, total";"All Denmark";"20 years";">18 - 24 months";8;8;4;10
"Total";"Nature of the offence, total";"All Denmark";"20 years";">2- 3 years";21;5;17;8
"Total";"Nature of the offence, total";"All Denmark";"20 years";">3 - 4 years";1;2;3;2
"Total";"Nature of the offence, total";"All Denmark";"20 years";">4 - 5 years";2;5;3;2
"Total";"Nature of the offence, total";"All Denmark";"20 years";">5 - 6 years";2;0;1;0
"Total";"Nature of the offence, total";"All Denmark";"20 years";">6 - 8 years";2;2;2;0
"Total";"Nature of the offence, total";"All Denmark";"20 years";">8 - 12 years";1;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"20 years";">12 year -";1;2;0;0
"Total";"Nature of the offence, total";"All Denmark";"20 years";"Imprisonment for life";1;0;0;1
"Total";"Nature of the offence, total";"All Denmark";"20 years";"Unknown lenght of penalty";1;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"21 years";"Up to 14 days";12;21;12;11
"Total";"Nature of the offence, total";"All Denmark";"21 years";"15 - 21 days";3;9;16;19
"Total";"Nature of the offence, total";"All Denmark";"21 years";"22 - 30 days";22;21;12;23
"Total";"Nature of the offence, total";"All Denmark";"21 years";"31 - 60 days";55;53;53;49
"Total";"Nature of the offence, total";"All Denmark";"21 years";">2 - 3 months";36;31;29;34
"Total";"Nature of the offence, total";"All Denmark";"21 years";">3 - 4 months";19;24;29;21
"Total";"Nature of the offence, total";"All Denmark";"21 years";">4 - 6 months";25;33;32;34
"Total";"Nature of the offence, total";"All Denmark";"21 years";">6 - 9 months";16;22;11;18
"Total";"Nature of the offence, total";"All Denmark";"21 years";">9 - 12 months";18;17;8;19
"Total";"Nature of the offence, total";"All Denmark";"21 years";">12 - 15 months";7;6;9;5
"Total";"Nature of the offence, total";"All Denmark";"21 years";">15 - 18 months";9;5;2;4
"Total";"Nature of the offence, total";"All Denmark";"21 years";">18 - 24 months";11;7;8;8
"Total";"Nature of the offence, total";"All Denmark";"21 years";">2- 3 years";12;11;9;11
"Total";"Nature of the offence, total";"All Denmark";"21 years";">3 - 4 years";2;9;4;5
