"sex";"offence";"region";"age";"length";"2020";"2021";"2022";"2023"
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">5 - 6 years";3;9;3;6
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">6 - 8 years";2;3;8;12
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">8 - 12 years";7;3;7;5
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">12 year -";2;2;5;0
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";"Imprisonment for life";0;1;0;1
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";"Unknown lenght of penalty";1;1;0;0
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";"Up to 14 days";5;6;9;13
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";"15 - 21 days";20;14;18;21
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";"22 - 30 days";21;17;23;22
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";"31 - 60 days";38;40;52;50
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">2 - 3 months";15;25;23;16
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">3 - 4 months";6;9;8;27
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">4 - 6 months";14;16;13;20
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">6 - 9 months";9;8;6;5
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">9 - 12 months";8;7;13;12
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">12 - 15 months";6;4;5;4
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">15 - 18 months";2;2;4;2
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">18 - 24 months";1;4;4;5
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">2- 3 years";3;7;7;9
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">3 - 4 years";0;1;8;3
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">4 - 5 years";0;1;0;1
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">5 - 6 years";2;1;3;1
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">6 - 8 years";2;1;2;0
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">8 - 12 years";2;1;0;1
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";">12 year -";0;0;2;3
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";"Imprisonment for life";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"60-69 years";"Unknown lenght of penalty";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";"Up to 14 days";1;2;0;2
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";"15 - 21 days";2;3;3;2
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";"22 - 30 days";0;3;1;3
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";"31 - 60 days";10;5;7;9
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">2 - 3 months";2;1;3;2
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">3 - 4 months";0;1;2;2
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">4 - 6 months";7;2;3;3
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">6 - 9 months";2;0;0;1
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">9 - 12 months";2;2;1;2
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">12 - 15 months";0;0;0;1
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">15 - 18 months";0;0;0;1
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">18 - 24 months";0;0;0;1
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">2- 3 years";1;0;1;1
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">3 - 4 years";1;0;0;2
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">4 - 5 years";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">5 - 6 years";1;1;3;0
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">6 - 8 years";1;2;0;0
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">8 - 12 years";0;2;0;1
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";">12 year -";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";"Imprisonment for life";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"70-79 years";"Unknown lenght of penalty";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";"Up to 14 days";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";"15 - 21 days";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";"22 - 30 days";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";"31 - 60 days";0;1;0;1
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">2 - 3 months";0;1;0;1
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">3 - 4 months";0;1;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">4 - 6 months";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">6 - 9 months";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">9 - 12 months";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">12 - 15 months";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">15 - 18 months";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">18 - 24 months";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">2- 3 years";0;0;0;1
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">3 - 4 years";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">4 - 5 years";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">5 - 6 years";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">6 - 8 years";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">8 - 12 years";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";">12 year -";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";"Imprisonment for life";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"80 year and over";"Unknown lenght of penalty";0;0;0;0
