"offence";"region";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Nature of the offence, total";"�r�";40;29;44;48;32;23;48;86;85;33;38;28;31;32
"Nature of the offence, total";"Billund";622;624;599;539;419;499;405;469;525;532;338;564;425;446
"Nature of the offence, total";"Esbjerg";2972;3079;2553;2466;2481;2383;2125;2140;2433;2372;1970;1888;2025;2053
"Nature of the offence, total";"Fan�";46;34;34;47;34;25;38;36;49;20;44;34;32;34
"Nature of the offence, total";"Fredericia";1601;1636;1316;1794;1542;1295;1418;1385;1156;1094;975;1080;1111;985
"Nature of the offence, total";"Haderslev";1257;1068;1235;1142;1314;1099;1065;852;851;754;660;695;690;710
"Nature of the offence, total";"Kolding";2251;2311;1876;2010;1940;2113;1874;2298;1953;1579;1247;1478;1429;1593
"Nature of the offence, total";"S�nderborg";1572;1543;1182;1486;1204;1083;1108;1119;1136;849;847;823;1046;929
"Nature of the offence, total";"T�nder";816;817;699;717;612;639;497;550;759;630;519;449;496;532
"Nature of the offence, total";"Varde";1117;892;819;789;689;698;693;696;699;697;496;512;542;510
"Nature of the offence, total";"Vejen";988;786;806;841;573;551;558;445;568;585;468;446;498;376
"Nature of the offence, total";"Vejle";2460;2755;2133;2172;1921;2013;1952;1903;2104;1799;1361;1686;1721;1692
"Nature of the offence, total";"Aabenraa";1397;1725;1431;1452;1365;2023;1514;1390;1409;1336;1542;1195;1080;830
"Nature of the offence, total";"Region Midtjylland";27744;28382;24938;25220;22565;22189;21915;23755;22724;21609;17443;20176;20426;18614
"Nature of the offence, total";"Favrskov";739;744;606;601;480;517;498;547;478;510;375;352;463;415
"Nature of the offence, total";"Hedensted";609;755;635;552;426;587;627;552;563;430;398;420;514;374
"Nature of the offence, total";"Horsens";2058;2404;1762;1884;1413;1591;1459;1715;1472;1287;1165;1493;1389;1336
"Nature of the offence, total";"Norddjurs";784;674;581;589;595;552;862;458;647;481;500;405;427;469
"Nature of the offence, total";"Odder";325;305;362;260;232;206;261;286;218;196;170;165;227;186
"Nature of the offence, total";"Randers";2604;2180;1951;2091;1866;1840;1632;2102;1702;1915;1521;1401;1766;1400
"Nature of the offence, total";"Sams�";30;43;36;23;22;20;45;30;29;35;25;29;31;27
"Nature of the offence, total";"Silkeborg";1603;1611;1514;1387;1252;1340;1017;1333;1429;1153;939;998;947;1131
"Nature of the offence, total";"Skanderborg";852;996;1001;1026;696;778;733;778;631;539;515;574;532;495
"Nature of the offence, total";"Syddjurs";770;623;594;759;612;567;649;474;533;409;608;357;437;420
"Nature of the offence, total";"Aarhus";9869;10638;9477;9455;9198;8269;8064;8152;7789;7050;6598;7928;8057;7275
"Nature of the offence, total";"Herning";1548;1588;1578;1502;1313;1490;1497;1414;1598;1504;1043;1304;1294;1120
"Nature of the offence, total";"Holstebro";1047;1104;983;1042;894;833;848;1062;945;915;729;834;805;820
"Nature of the offence, total";"Ikast-Brande";896;794;700;590;528;531;732;1921;1824;2089;575;743;1077;731
"Nature of the offence, total";"Lemvig";285;253;177;169;171;156;154;159;179;174;151;140;137;122
"Nature of the offence, total";"Ringk�bing-Skjern";991;884;794;747;657;643;604;643;566;511;456;518;470;446
"Nature of the offence, total";"Skive";740;838;684;736;549;640;518;617;580;838;477;458;475;458
"Nature of the offence, total";"Struer";241;325;239;273;218;315;244;248;196;290;205;228;255;183
"Nature of the offence, total";"Viborg";1753;1623;1264;1534;1443;1314;1471;1264;1345;1283;993;1829;1123;1206
"Nature of the offence, total";"Region Nordjylland";11909;12432;10308;11198;9681;9695;8532;10003;9462;8151;6285;6626;7141;6864
"Nature of the offence, total";"Br�nderslev";619;593;449;491;540;421;350;496;417;371;382;299;390;313
"Nature of the offence, total";"Frederikshavn";1299;1201;890;956;861;945;895;961;1548;809;592;615;653;636
"Nature of the offence, total";"Hj�rring";1176;1220;879;1053;968;1081;864;1020;903;843;612;695;763;651
"Nature of the offence, total";"Jammerbugt";680;661;544;597;450;432;414;517;509;424;421;359;305;322
"Nature of the offence, total";"L�s�";6;23;6;8;1;11;7;6;19;6;5;4;4;11
"Nature of the offence, total";"Mariagerfjord";840;886;653;811;657;644;556;571;618;618;499;533;411;401
"Nature of the offence, total";"Mors�";311;264;320;248;246;240;255;416;285;204;181;180;219;166
"Nature of the offence, total";"Rebild";456;432;443;416;344;351;328;283;298;308;255;258;229;237
"Nature of the offence, total";"Thisted";619;730;649;650;523;553;479;506;571;504;371;500;394;337
"Nature of the offence, total";"Vesthimmerlands";768;668;684;799;575;631;491;553;458;441;429;443;346;387
"Nature of the offence, total";"Aalborg";5135;5754;4791;5169;4516;4386;3893;4674;3836;3623;2538;2740;3427;3403
"Nature of the offence, total";"Unknown municipality";2072;2118;2023;3262;4831;5567;5213;6619;7930;9055;9905;8980;11572;9736
"Sexual offenses, total";"All Denmark";673;671;557;590;595;720;1048;1010;1256;1366;1728;2149;2170;2011
"Sexual offenses, total";"Region Hovedstaden";141;190;159;161;148;242;481;306;327;371;335;583;450;541
"Sexual offenses, total";"Copenhagen";32;57;51;58;64;127;98;108;126;163;136;327;158;212
"Sexual offenses, total";"Frederiksberg";4;9;3;3;3;11;24;11;14;8;16;15;17;37
"Sexual offenses, total";"Drag�r";0;1;0;0;0;2;0;2;5;1;1;1;4;3
"Sexual offenses, total";"T�rnby";4;0;3;7;6;2;4;7;7;12;13;6;4;2
"Sexual offenses, total";"Albertslund";5;6;3;4;4;2;4;7;14;7;2;7;6;6
"Sexual offenses, total";"Ballerup";1;7;2;8;4;5;5;12;9;8;7;5;7;23
"Sexual offenses, total";"Br�ndby";6;21;1;4;5;2;3;6;6;4;6;1;8;12
"Sexual offenses, total";"Gentofte";2;10;5;4;8;9;4;7;26;7;11;13;11;11
"Sexual offenses, total";"Gladsaxe";4;4;3;3;8;4;9;7;5;4;9;10;15;12
"Sexual offenses, total";"Glostrup";2;7;3;6;1;2;2;7;8;5;4;4;11;7
"Sexual offenses, total";"Herlev";3;2;1;4;2;2;8;3;7;8;3;2;4;9
"Sexual offenses, total";"Hvidovre";7;5;2;5;6;2;9;5;6;8;4;6;9;14
"Sexual offenses, total";"H�je-Taastrup";7;5;2;5;2;10;10;5;9;8;7;13;65;26
"Sexual offenses, total";"Ish�j";0;5;9;3;2;2;0;1;3;9;8;8;5;11
"Sexual offenses, total";"Lyngby-Taarb�k";0;2;2;2;4;5;5;30;5;9;16;7;7;9
"Sexual offenses, total";"R�dovre";2;4;1;3;3;6;3;7;8;10;4;80;39;10
"Sexual offenses, total";"Vallensb�k";0;1;2;2;0;2;2;1;2;5;0;4;0;2
"Sexual offenses, total";"Aller�d";1;2;3;0;0;1;3;2;2;17;2;3;4;11
"Sexual offenses, total";"Egedal";3;2;2;9;3;4;4;7;6;9;5;6;7;8
"Sexual offenses, total";"Fredensborg";4;3;2;2;1;4;4;5;4;4;7;6;5;13
"Sexual offenses, total";"Frederikssund";2;6;2;2;3;6;4;5;6;3;7;12;6;19
"Sexual offenses, total";"Fures�";31;8;35;3;1;3;123;3;8;2;10;5;4;5
"Sexual offenses, total";"Gribskov";1;2;5;1;4;2;6;14;6;13;11;4;7;10
"Sexual offenses, total";"Halsn�s";4;4;4;2;0;2;6;8;3;6;4;5;7;22
"Sexual offenses, total";"Helsing�r";10;5;9;12;4;4;6;6;6;16;9;10;13;13
"Sexual offenses, total";"Hiller�d";3;5;3;2;4;8;4;11;14;7;12;12;12;8
"Sexual offenses, total";"H�rsholm";1;0;0;0;0;4;3;2;3;6;3;0;3;5
"Sexual offenses, total";"Rudersdal";0;4;1;3;3;3;114;8;1;6;5;5;7;9
"Sexual offenses, total";"Bornholm";2;3;0;4;3;6;14;9;8;6;13;6;5;12
"Sexual offenses, total";"Christians�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sexual offenses, total";"Region Sj�lland";104;97;75;82;99;89;119;142;166;164;191;216;194;314
"Sexual offenses, total";"Greve";14;8;2;5;7;3;6;3;10;3;14;5;5;17
"Sexual offenses, total";"K�ge";4;7;4;5;13;4;9;8;13;7;8;15;12;23
"Sexual offenses, total";"Lejre";1;2;2;0;3;0;2;1;5;1;1;4;5;3
