"offence";"region";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Prostitution, etc.";"Vejle";1;2;1;2;3;0;2;1;1;1;1;0;1;12
"Prostitution, etc.";"Aabenraa";0;2;0;0;0;0;1;1;1;1;8;1;7;2
"Prostitution, etc.";"Region Midtjylland";12;22;5;19;23;7;11;17;15;15;24;19;17;83
"Prostitution, etc.";"Favrskov";0;0;0;0;1;0;0;0;0;0;1;0;0;5
"Prostitution, etc.";"Hedensted";0;1;0;0;1;0;0;0;0;0;1;0;3;3
"Prostitution, etc.";"Horsens";0;3;0;2;0;0;0;1;0;2;0;0;0;10
"Prostitution, etc.";"Norddjurs";2;1;0;0;0;0;0;0;0;0;0;1;0;3
"Prostitution, etc.";"Odder";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Prostitution, etc.";"Randers";3;1;1;0;0;0;2;2;3;2;1;3;0;7
"Prostitution, etc.";"Sams�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Prostitution, etc.";"Silkeborg";1;2;0;0;4;0;0;1;0;1;0;0;1;3
"Prostitution, etc.";"Skanderborg";0;0;0;0;0;1;1;0;0;0;0;0;1;0
"Prostitution, etc.";"Syddjurs";1;0;1;0;0;0;1;0;0;1;0;1;0;1
"Prostitution, etc.";"Aarhus";2;3;2;0;9;3;4;4;2;3;5;4;2;23
"Prostitution, etc.";"Herning";0;6;0;1;1;1;1;0;0;1;6;6;5;2
"Prostitution, etc.";"Holstebro";0;0;0;15;0;0;0;1;0;1;4;0;1;5
"Prostitution, etc.";"Ikast-Brande";0;1;0;0;0;0;1;0;0;0;2;2;2;8
"Prostitution, etc.";"Lemvig";0;0;0;0;0;0;0;1;0;0;0;1;1;2
"Prostitution, etc.";"Ringk�bing-Skjern";0;1;0;0;1;0;0;0;0;0;1;0;0;4
"Prostitution, etc.";"Skive";1;2;0;0;1;1;0;2;2;1;1;0;0;0
"Prostitution, etc.";"Struer";0;0;0;0;0;0;0;1;1;2;0;0;0;3
"Prostitution, etc.";"Viborg";2;1;1;1;5;1;1;4;7;0;2;1;1;4
"Prostitution, etc.";"Region Nordjylland";6;7;2;6;7;2;5;9;3;20;7;12;8;63
"Prostitution, etc.";"Br�nderslev";0;0;0;0;0;0;0;0;1;1;0;0;1;1
"Prostitution, etc.";"Frederikshavn";2;1;0;1;0;2;2;2;0;0;1;2;2;15
"Prostitution, etc.";"Hj�rring";2;0;0;1;1;0;0;1;0;0;2;0;1;24
"Prostitution, etc.";"Jammerbugt";0;0;0;2;0;0;0;2;2;0;1;2;0;1
"Prostitution, etc.";"L�s�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Prostitution, etc.";"Mariagerfjord";1;0;0;0;0;0;1;0;0;8;0;4;0;2
"Prostitution, etc.";"Mors�";0;0;0;1;0;0;0;0;0;2;1;0;1;3
"Prostitution, etc.";"Rebild";0;0;0;0;1;0;0;0;0;0;0;0;0;6
"Prostitution, etc.";"Thisted";0;0;0;0;0;0;1;0;0;3;0;1;0;3
"Prostitution, etc.";"Vesthimmerlands";0;0;0;1;0;0;0;0;0;0;0;0;1;2
"Prostitution, etc.";"Aalborg";1;6;2;0;5;0;1;4;0;6;2;3;2;6
"Prostitution, etc.";"Unknown municipality";1;3;0;2;3;9;8;17;11;192;465;319;824;218
"Crimes of violence, total";"All Denmark";4485;4574;3903;4289;4222;4816;5520;6759;6950;7500;6354;6594;6883;6703
"Crimes of violence, total";"Region Hovedstaden";1256;1329;1145;1454;1459;1758;1635;2196;2366;2500;2106;2264;2370;2202
"Crimes of violence, total";"Copenhagen";483;533;463;695;704;885;784;1112;1059;1145;878;1022;1151;984
"Crimes of violence, total";"Frederiksberg";38;34;39;54;50;55;60;70;68;91;106;90;76;96
"Crimes of violence, total";"Drag�r";1;6;2;2;3;3;3;4;6;12;10;7;10;2
"Crimes of violence, total";"T�rnby";19;30;14;23;17;34;38;54;46;47;36;52;49;42
"Crimes of violence, total";"Albertslund";42;34;39;29;46;37;33;38;45;44;53;30;36;39
"Crimes of violence, total";"Ballerup";39;30;36;35;28;34;40;61;50;58;56;40;42;40
"Crimes of violence, total";"Br�ndby";30;69;41;71;45;55;25;45;136;67;50;147;58;66
"Crimes of violence, total";"Gentofte";18;29;20;23;14;22;30;48;61;61;38;47;53;51
"Crimes of violence, total";"Gladsaxe";27;32;30;34;34;46;53;56;56;50;79;63;58;61
"Crimes of violence, total";"Glostrup";29;20;24;29;16;28;29;39;39;40;43;26;47;26
"Crimes of violence, total";"Herlev";23;28;15;20;18;20;29;23;35;35;45;35;27;29
"Crimes of violence, total";"Hvidovre";34;33;37;43;42;57;37;52;66;63;69;53;57;56
"Crimes of violence, total";"H�je-Taastrup";45;36;29;33;43;33;52;54;84;70;71;74;63;78
"Crimes of violence, total";"Ish�j";25;26;16;24;13;32;24;29;39;43;34;36;29;41
"Crimes of violence, total";"Lyngby-Taarb�k";30;25;18;22;20;25;27;44;41;46;37;44;46;46
"Crimes of violence, total";"R�dovre";37;22;26;20;27;40;25;39;43;55;54;30;48;42
"Crimes of violence, total";"Vallensb�k";7;8;7;6;4;12;7;11;11;12;10;9;5;5
"Crimes of violence, total";"Aller�d";16;20;16;15;19;27;31;15;29;31;20;14;29;15
"Crimes of violence, total";"Egedal";10;9;12;7;5;14;13;18;26;29;27;20;42;24
"Crimes of violence, total";"Fredensborg";23;28;16;16;26;17;14;27;38;31;41;36;33;32
"Crimes of violence, total";"Frederikssund";26;32;17;24;32;53;52;47;59;56;41;40;41;51
"Crimes of violence, total";"Fures�";23;14;21;19;14;17;21;38;23;37;16;31;36;43
"Crimes of violence, total";"Gribskov";17;18;15;20;34;22;40;34;34;52;39;33;40;36
"Crimes of violence, total";"Halsn�s";24;20;24;20;21;23;20;32;24;46;27;30;41;33
"Crimes of violence, total";"Helsing�r";85;73;64;57;70;51;34;66;84;89;81;87;94;82
"Crimes of violence, total";"Hiller�d";30;50;41;36;52;38;48;43;62;70;47;47;76;69
"Crimes of violence, total";"H�rsholm";8;13;6;10;9;4;9;15;27;26;25;34;27;36
"Crimes of violence, total";"Rudersdal";32;26;18;10;9;23;23;25;37;50;48;27;29;41
"Crimes of violence, total";"Bornholm";35;31;39;57;44;51;34;57;38;44;25;60;27;36
"Crimes of violence, total";"Christians�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Crimes of violence, total";"Region Sj�lland";582;581;486;573;539;657;846;883;1055;1121;989;878;1005;1050
"Crimes of violence, total";"Greve";36;40;23;32;20;18;29;30;23;46;34;42;26;51
"Crimes of violence, total";"K�ge";52;30;24;34;36;41;53;52;51;74;84;69;64;88
"Crimes of violence, total";"Lejre";10;5;12;8;12;11;15;15;23;12;21;17;15;11
"Crimes of violence, total";"Roskilde";62;54;36;41;59;56;82;96;85;107;96;90;114;114
"Crimes of violence, total";"Solr�d";12;9;10;7;7;8;9;10;13;12;11;20;15;17
"Crimes of violence, total";"Faxe";15;23;12;20;23;25;23;32;36;37;43;24;44;40
"Crimes of violence, total";"Guldborgsund";74;77;56;60;39;68;94;79;130;145;107;99;97;110
"Crimes of violence, total";"Holb�k";42;50;55;39;32;46;80;79;76;93;97;69;114;76
"Crimes of violence, total";"Kalundborg";43;28;36;35;35;41;58;59;51;59;43;32;41;40
"Crimes of violence, total";"Lolland";29;56;42;43;39;69;96;98;126;108;73;82;66;90
"Crimes of violence, total";"N�stved";37;44;29;58;46;51;75;75;95;85;101;69;97;86
"Crimes of violence, total";"Odsherred";18;19;20;25;23;18;22;34;47;42;48;38;55;49
"Crimes of violence, total";"Ringsted";20;35;20;22;22;26;17;26;20;23;32;35;28;37
"Crimes of violence, total";"Slagelse";74;59;61;81;79;102;98;101;165;164;105;105;126;137
"Crimes of violence, total";"Sor�";17;16;15;14;17;13;18;29;42;32;39;32;26;28
"Crimes of violence, total";"Stevns";6;13;8;14;8;10;7;15;10;17;15;6;31;30
"Crimes of violence, total";"Vordingborg";35;23;27;40;42;54;70;53;62;65;40;49;46;46
"Crimes of violence, total";"Region Syddanmark";1125;1207;984;980;913;1030;1233;1484;1594;1723;1373;1533;1496;1471
"Crimes of violence, total";"Assens";26;21;17;13;23;21;25;29;43;49;48;34;33;50
"Crimes of violence, total";"Faaborg-Midtfyn";55;45;42;18;35;20;65;51;84;42;54;39;41;66
"Crimes of violence, total";"Kerteminde";5;14;18;12;10;11;5;13;26;15;13;11;13;17
"Crimes of violence, total";"Langeland";9;6;9;4;5;13;7;7;18;14;11;8;33;14
"Crimes of violence, total";"Middelfart";38;28;18;28;28;28;20;45;38;34;48;52;50;46
"Crimes of violence, total";"Nordfyns";16;20;14;20;21;13;15;49;61;45;34;30;21;33
"Crimes of violence, total";"Nyborg";45;43;45;42;54;25;42;63;55;64;54;60;72;51
"Crimes of violence, total";"Odense";241;292;216;278;190;246;237;273;301;434;218;248;244;280
"Crimes of violence, total";"Svendborg";44;54;48;40;40;31;62;63;70;82;50;65;68;59
"Crimes of violence, total";"�r�";2;0;1;5;1;0;5;3;1;3;2;4;7;3
"Crimes of violence, total";"Billund";20;20;9;18;6;25;14;22;18;26;21;31;22;16
"Crimes of violence, total";"Esbjerg";128;143;142;113;125;148;155;161;162;194;185;189;180;170
"Crimes of violence, total";"Fan�";2;2;0;3;3;0;1;1;0;0;1;3;1;1
"Crimes of violence, total";"Fredericia";50;47;27;46;31;40;65;62;94;85;65;92;101;62
"Crimes of violence, total";"Haderslev";53;47;40;38;45;34;41;64;59;81;59;76;74;58
"Crimes of violence, total";"Kolding";77;89;53;55;59;91;89;129;113;115;104;128;104;120
"Crimes of violence, total";"S�nderborg";58;74;71;49;37;39;77;72;67;66;69;99;88;87
"Crimes of violence, total";"T�nder";42;39;21;28;35;29;49;45;54;50;46;58;44;49
"Crimes of violence, total";"Varde";29;31;37;25;23;27;33;40;59;39;40;33;44;36
"Crimes of violence, total";"Vejen";34;26;31;40;18;25;30;30;36;43;36;41;43;28
"Crimes of violence, total";"Vejle";74;92;58;55;69;96;110;170;157;165;134;161;155;172
"Crimes of violence, total";"Aabenraa";77;74;67;50;55;68;86;92;78;77;81;71;58;53
"Crimes of violence, total";"Region Midtjylland";1045;983;896;878;908;912;1271;1526;1316;1468;1212;1245;1296;1285
"Crimes of violence, total";"Favrskov";22;15;34;15;27;23;28;27;34;64;25;32;49;39
"Crimes of violence, total";"Hedensted";9;9;13;9;10;17;24;47;32;33;34;37;36;21
"Crimes of violence, total";"Horsens";92;113;39;51;61;55;78;112;117;113;80;123;122;118
"Crimes of violence, total";"Norddjurs";25;42;33;31;36;31;29;38;78;42;40;39;70;55
"Crimes of violence, total";"Odder";10;6;8;6;20;5;12;12;13;14;15;6;11;2
"Crimes of violence, total";"Randers";182;105;90;91;86;90;105;157;113;123;112;115;97;123
"Crimes of violence, total";"Sams�";2;3;3;0;1;0;9;3;1;2;2;2;6;0
"Crimes of violence, total";"Silkeborg";67;57;70;63;47;56;49;77;73;69;88;60;75;78
"Crimes of violence, total";"Skanderborg";16;24;19;24;11;25;24;26;35;37;20;28;30;33
"Crimes of violence, total";"Syddjurs";33;19;24;20;13;17;12;40;15;29;29;28;15;23
"Crimes of violence, total";"Aarhus";333;332;302;317;331;309;548;602;393;426;372;397;388;356
"Crimes of violence, total";"Herning";55;48;67;50;56;72;78;91;110;121;89;97;81;91
"Crimes of violence, total";"Holstebro";45;63;66;41;47;46;48;63;58;73;74;59;73;70
"Crimes of violence, total";"Ikast-Brande";28;22;18;28;24;15;56;50;43;44;53;36;38;40
"Crimes of violence, total";"Lemvig";12;8;2;9;6;10;4;11;14;13;13;7;3;18
"Crimes of violence, total";"Ringk�bing-Skjern";29;28;31;26;27;19;41;28;28;37;19;15;20;26
"Crimes of violence, total";"Skive";28;25;30;32;25;26;42;41;35;46;33;39;43;47
"Crimes of violence, total";"Struer";8;14;12;18;13;28;18;25;22;39;21;34;18;18
"Crimes of violence, total";"Viborg";49;50;35;47;67;68;66;76;102;143;93;91;121;127
"Crimes of violence, total";"Region Nordjylland";451;431;357;361;365;391;438;544;502;550;459;499;496;464
"Crimes of violence, total";"Br�nderslev";15;14;19;16;20;19;24;28;35;36;37;27;52;36
"Crimes of violence, total";"Frederikshavn";60;43;34;29;32;32;60;54;41;31;42;46;44;37
"Crimes of violence, total";"Hj�rring";55;52;42;39;47;42;40;56;43;37;28;62;68;61
"Crimes of violence, total";"Jammerbugt";39;13;19;23;17;26;24;19;32;26;34;31;19;21
"Crimes of violence, total";"L�s�";1;2;0;1;0;1;0;0;0;0;0;0;1;3
"Crimes of violence, total";"Mariagerfjord";32;32;26;21;19;20;21;38;50;74;56;53;40;38
"Crimes of violence, total";"Mors�";10;9;18;12;12;20;15;8;15;18;16;12;22;18
"Crimes of violence, total";"Rebild";4;12;3;7;2;5;6;15;14;19;21;11;12;4
"Crimes of violence, total";"Thisted";15;47;31;42;41;41;35;34;30;40;21;31;28;26
"Crimes of violence, total";"Vesthimmerlands";24;17;19;27;14;22;24;59;28;41;41;21;38;33
"Crimes of violence, total";"Aalborg";196;190;146;144;161;163;189;233;214;228;163;205;172;187
"Crimes of violence, total";"Unknown municipality";26;43;35;43;38;68;97;126;117;138;215;175;220;231
"Homicide";"All Denmark";8;16;9;15;16;15;12;16;17;12;8;11;16;11
"Homicide";"Region Hovedstaden";3;7;5;2;5;7;6;9;5;7;2;6;3;5
"Homicide";"Copenhagen";2;4;2;0;3;2;2;5;1;2;0;1;1;2
"Homicide";"Frederiksberg";0;0;0;0;0;3;0;0;0;0;0;1;0;2
"Homicide";"Drag�r";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"T�rnby";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Homicide";"Albertslund";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Homicide";"Ballerup";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Br�ndby";0;0;0;0;0;0;0;1;0;1;0;1;2;0
"Homicide";"Gentofte";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Homicide";"Gladsaxe";0;2;0;1;0;0;0;0;1;1;0;0;0;0
"Homicide";"Glostrup";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Homicide";"Herlev";1;0;0;0;0;0;1;0;0;0;0;1;0;0
"Homicide";"Hvidovre";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"H�je-Taastrup";0;0;0;1;0;1;0;0;1;0;0;0;0;0
"Homicide";"Ish�j";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Lyngby-Taarb�k";0;0;1;0;1;0;0;0;0;0;0;0;0;0
"Homicide";"R�dovre";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Homicide";"Vallensb�k";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Homicide";"Aller�d";0;1;1;0;0;0;1;0;0;0;0;0;0;0
"Homicide";"Egedal";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Fredensborg";0;0;0;0;1;0;0;0;0;0;1;0;0;0
"Homicide";"Frederikssund";0;0;0;0;0;0;0;0;0;1;1;0;0;0
"Homicide";"Fures�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Gribskov";0;0;0;0;0;0;0;0;1;0;0;1;0;0
"Homicide";"Halsn�s";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Helsing�r";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Hiller�d";0;0;0;0;0;1;1;0;0;1;0;0;0;0
"Homicide";"H�rsholm";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Rudersdal";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Homicide";"Bornholm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Christians�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Region Sj�lland";0;4;1;4;3;2;1;2;3;2;4;0;8;1
"Homicide";"Greve";0;0;0;0;0;0;1;0;0;0;1;0;0;0
"Homicide";"K�ge";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Lejre";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Roskilde";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Homicide";"Solr�d";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Faxe";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Homicide";"Guldborgsund";0;0;1;0;0;0;0;0;1;0;1;0;0;0
"Homicide";"Holb�k";0;0;0;0;1;0;0;0;1;1;0;0;2;0
"Homicide";"Kalundborg";0;1;0;0;0;0;0;0;0;0;1;0;0;0
"Homicide";"Lolland";0;2;0;1;0;0;0;0;0;0;0;0;1;0
"Homicide";"N�stved";0;0;0;2;0;0;0;0;0;0;0;0;1;0
"Homicide";"Odsherred";0;0;0;0;1;0;0;0;0;0;1;0;0;0
"Homicide";"Ringsted";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Homicide";"Slagelse";0;1;0;0;1;0;0;1;1;0;0;0;0;0
"Homicide";"Sor�";0;0;0;0;0;0;0;0;0;1;0;0;1;0
"Homicide";"Stevns";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Vordingborg";0;0;0;0;0;1;0;1;0;0;0;0;3;0
"Homicide";"Region Syddanmark";1;3;1;1;2;1;4;2;3;2;2;0;4;1
"Homicide";"Assens";0;0;0;0;0;0;0;0;2;0;0;0;0;0
"Homicide";"Faaborg-Midtfyn";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Kerteminde";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Homicide";"Langeland";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Middelfart";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Nordfyns";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Nyborg";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Homicide";"Odense";0;2;0;0;0;0;0;0;0;0;0;0;1;0
"Homicide";"Svendborg";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Homicide";"�r�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Billund";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Esbjerg";0;0;1;1;1;0;0;0;0;0;0;0;0;0
"Homicide";"Fan�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Fredericia";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Haderslev";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Homicide";"Kolding";0;0;0;0;0;0;0;1;1;0;0;0;0;1
"Homicide";"S�nderborg";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"T�nder";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Varde";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Vejen";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Homicide";"Vejle";0;1;0;0;0;0;0;1;0;1;1;0;3;0
"Homicide";"Aabenraa";0;0;0;0;0;0;3;0;0;0;0;0;0;0
"Homicide";"Region Midtjylland";2;2;1;6;3;4;1;1;1;1;0;4;1;4
"Homicide";"Favrskov";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Hedensted";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Horsens";1;0;0;0;1;0;0;0;0;0;0;0;0;0
"Homicide";"Norddjurs";0;1;0;1;0;0;0;0;0;0;0;0;0;1
"Homicide";"Odder";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Randers";0;0;0;1;0;1;0;1;0;0;0;1;1;0
"Homicide";"Sams�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Silkeborg";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Skanderborg";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Syddjurs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Aarhus";1;0;0;3;1;3;1;0;1;1;0;3;0;1
"Homicide";"Herning";0;0;0;0;1;0;0;0;0;0;0;0;0;1
"Homicide";"Holstebro";0;1;0;1;0;0;0;0;0;0;0;0;0;1
"Homicide";"Ikast-Brande";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Lemvig";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Ringk�bing-Skjern";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Skive";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Struer";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Viborg";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Region Nordjylland";2;0;1;1;3;1;0;2;4;0;0;1;0;0
"Homicide";"Br�nderslev";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Frederikshavn";0;0;0;0;1;0;0;0;1;0;0;0;0;0
"Homicide";"Hj�rring";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Homicide";"Jammerbugt";1;0;0;0;1;0;0;0;0;0;0;0;0;0
"Homicide";"L�s�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Mariagerfjord";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Homicide";"Mors�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Rebild";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Homicide";"Thisted";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Vesthimmerlands";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Homicide";"Aalborg";1;0;1;1;1;1;0;1;1;0;0;1;0;0
"Homicide";"Unknown municipality";0;0;0;1;0;0;0;0;1;0;0;0;0;0
"Burglary - business and community";"All Denmark";7827;6778;5491;5188;4589;4159;3918;3598;3672;3051;2490;1672;2086;1985
"Burglary - business and community";"Region Hovedstaden";2411;2127;1853;1794;1566;1417;1136;946;1193;983;737;515;597;591
"Burglary - business and community";"Copenhagen";805;717;580;598;534;510;402;314;509;399;278;199;257;242
"Burglary - business and community";"Frederiksberg";91;91;118;105;92;74;67;25;55;45;34;24;61;22
"Burglary - business and community";"Drag�r";23;11;6;6;3;2;12;19;9;5;1;4;2;4
"Burglary - business and community";"T�rnby";38;42;67;32;33;29;19;14;30;15;14;8;19;10
"Burglary - business and community";"Albertslund";41;28;40;24;29;35;25;12;20;16;13;6;9;10
"Burglary - business and community";"Ballerup";93;120;67;47;64;64;39;36;39;27;20;16;15;18
"Burglary - business and community";"Br�ndby";56;77;53;73;45;24;23;27;25;20;14;12;17;11
"Burglary - business and community";"Gentofte";78;74;83;73;62;34;61;26;27;34;22;17;15;24
"Burglary - business and community";"Gladsaxe";112;57;78;48;48;59;32;31;29;29;6;14;10;21
"Burglary - business and community";"Glostrup";31;26;28;26;23;33;25;14;26;19;16;9;5;10
"Burglary - business and community";"Herlev";57;45;44;27;37;38;25;57;50;12;19;10;10;13
"Burglary - business and community";"Hvidovre";70;59;62;104;50;47;32;28;30;25;18;14;22;26
"Burglary - business and community";"H�je-Taastrup";65;46;49;39;39;76;26;33;24;21;31;7;15;14
"Burglary - business and community";"Ish�j";55;28;40;66;34;32;20;25;23;7;13;10;4;5
"Burglary - business and community";"Lyngby-Taarb�k";95;64;50;37;48;25;38;31;29;35;23;17;7;19
"Burglary - business and community";"R�dovre";93;75;43;56;35;47;12;23;22;27;16;12;9;11
"Burglary - business and community";"Vallensb�k";11;22;13;18;11;8;3;11;2;3;7;3;0;9
"Burglary - business and community";"Aller�d";27;16;15;19;9;15;15;10;8;4;5;7;6;4
"Burglary - business and community";"Egedal";29;49;27;19;14;22;17;19;10;17;26;4;3;13
"Burglary - business and community";"Fredensborg";56;27;38;49;44;21;24;11;11;5;8;5;22;5
"Burglary - business and community";"Frederikssund";44;45;42;41;19;20;23;21;18;38;65;27;15;16
"Burglary - business and community";"Fures�";48;46;19;37;16;36;14;44;22;8;10;5;5;13
"Burglary - business and community";"Gribskov";36;28;38;31;44;13;21;20;26;24;20;12;15;17
"Burglary - business and community";"Halsn�s";41;71;29;33;25;14;19;11;31;23;3;6;2;2
"Burglary - business and community";"Helsing�r";130;121;101;73;77;34;45;34;38;45;13;18;31;20
"Burglary - business and community";"Hiller�d";63;27;30;43;44;46;34;20;45;29;17;22;9;9
"Burglary - business and community";"H�rsholm";28;19;35;15;41;19;21;4;7;9;1;13;3;2
"Burglary - business and community";"Rudersdal";63;64;45;41;38;35;40;23;23;35;22;11;8;18
"Burglary - business and community";"Bornholm";32;32;13;14;8;5;2;3;5;7;2;3;1;3
"Burglary - business and community";"Christians�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Burglary - business and community";"Region Sj�lland";1053;877;652;731;602;625;610;534;551;337;311;196;262;246
"Burglary - business and community";"Greve";57;73;45;72;33;31;19;23;37;22;9;19;13;18
"Burglary - business and community";"K�ge";100;54;54;44;30;42;61;46;39;37;20;8;8;18
"Burglary - business and community";"Lejre";20;19;9;14;13;13;13;6;14;13;3;5;10;7
"Burglary - business and community";"Roskilde";102;92;65;51;38;64;46;33;38;23;16;11;29;21
"Burglary - business and community";"Solr�d";16;29;14;13;10;7;18;27;13;4;6;1;2;2
"Burglary - business and community";"Faxe";46;39;50;29;28;49;18;10;28;16;15;7;11;12
"Burglary - business and community";"Guldborgsund";100;52;60;64;51;41;38;60;54;22;24;21;42;29
"Burglary - business and community";"Holb�k";62;75;33;44;65;33;43;44;32;25;24;18;12;13
"Burglary - business and community";"Kalundborg";66;37;33;30;48;38;34;18;14;17;11;11;19;10
"Burglary - business and community";"Lolland";53;68;36;74;30;43;48;36;40;17;16;12;13;5
"Burglary - business and community";"N�stved";84;79;57;83;59;40;58;31;44;31;33;21;23;33
"Burglary - business and community";"Odsherred";34;37;31;25;19;18;25;50;70;19;7;17;26;10
"Burglary - business and community";"Ringsted";57;32;30;25;34;28;30;21;39;26;20;14;10;15
"Burglary - business and community";"Slagelse";107;89;76;70;51;58;56;72;50;37;80;17;28;35
"Burglary - business and community";"Sor�";38;32;19;29;35;36;23;21;12;7;16;6;3;10
"Burglary - business and community";"Stevns";18;15;14;13;8;12;13;4;6;8;4;1;6;1
"Burglary - business and community";"Vordingborg";93;55;26;51;50;72;67;32;21;13;7;7;7;7
"Burglary - business and community";"Region Syddanmark";1948;1525;1327;1225;1000;850;889;816;966;704;575;423;450;410
"Burglary - business and community";"Assens";50;40;38;33;37;59;38;15;34;23;28;14;15;8
"Burglary - business and community";"Faaborg-Midtfyn";70;66;59;34;44;22;36;8;35;26;34;17;14;11
"Burglary - business and community";"Kerteminde";19;21;21;20;10;11;17;6;9;11;8;5;3;2
"Burglary - business and community";"Langeland";17;22;10;4;10;6;7;9;8;5;7;2;3;2
"Burglary - business and community";"Middelfart";87;39;36;49;58;36;34;28;38;26;21;18;12;19
"Burglary - business and community";"Nordfyns";41;39;45;29;17;16;18;23;23;16;18;14;6;19
"Burglary - business and community";"Nyborg";39;27;29;19;17;17;24;19;10;8;24;16;9;17
"Burglary - business and community";"Odense";298;283;353;237;172;160;177;158;165;129;105;61;38;68
"Burglary - business and community";"Svendborg";34;40;39;44;20;19;24;27;45;39;25;16;4;12
"Burglary - business and community";"�r�";3;1;1;0;2;1;0;1;1;2;5;0;0;0
"Burglary - business and community";"Billund";40;26;22;29;21;15;19;11;22;16;14;7;14;11
"Burglary - business and community";"Esbjerg";187;141;94;63;83;71;46;47;109;91;45;46;61;36
"Burglary - business and community";"Fan�";0;1;0;6;1;1;1;2;6;0;1;1;1;0
