"Reported criminal offences";"Nature of the offence, total";"Ringkøbing-Skjern";2184
"Reported criminal offences";"Nature of the offence, total";"Skive";2225
"Reported criminal offences";"Nature of the offence, total";"Struer";880
"Reported criminal offences";"Nature of the offence, total";"Viborg";5510
"Reported criminal offences";"Nature of the offence, total";"Region Nordjylland";32405
"Reported criminal offences";"Nature of the offence, total";"Brønderslev-Dronninglund";1720
"Reported criminal offences";"Nature of the offence, total";"Frederikshavn";3087
"Reported criminal offences";"Nature of the offence, total";"Hjørring";3062
"Reported criminal offences";"Nature of the offence, total";"Jammerbugt";1421
"Reported criminal offences";"Nature of the offence, total";"Læsø";36
"Reported criminal offences";"Nature of the offence, total";"Mariagerfjord";1857
"Reported criminal offences";"Nature of the offence, total";"Morsø";704
"Reported criminal offences";"Nature of the offence, total";"Rebild";969
"Reported criminal offences";"Nature of the offence, total";"Thisted";1710
"Reported criminal offences";"Nature of the offence, total";"Vesthimmerland";2489
"Reported criminal offences";"Nature of the offence, total";"Aalborg";15350
"Reported criminal offences";"Nature of the offence, total";"Unknown municipality";41629
