"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Total";"Homicide by negligence in traffic accidents";61;67;51;140;139;134;104;115;123;129;122;154;133;120
"Total";"Warnings";101;118;97;58;89;63;1;1;2;0;0;0;0;0
"Total";"Privacy infringement, defamation";447;331;399;330;343;348;360;336;305;257;391;473;470;491
"Total";"Trafic law, total";97245;100512;102213;106915;108569;105758;101245;98963;93819;90320;96416;123924;118694;102598
"Total";"Traffic acc., unspecified";14;14;27;31;42;43;21;48;23;22;10;23;29;29
"Total";"Traffic acc. under influence of alcohol";1259;1179;1069;1145;1009;936;867;853;798;732;751;810;832;813
"Total";"Drunken driving";6944;7033;7048;8391;7536;6970;6309;5592;4478;6239;6243;6246;5554;5595
"Total";"Vehicle defect offences";6252;5465;6382;6046;3920;3697;2676;1929;2166;1918;2637;3198;3216;2712
"Total";"Road Traffic Act, other";82776;86821;87687;91302;96062;94112;91372;90541;86354;81409;86775;113647;109063;93449
"Total";"Special laws, total";19913;21536;31926;37545;36222;43442;42606;41655;39098;43217;51127;41000;39548;48941
"Total";"Euphoriants Act";9374;9280;10800;11919;11885;13224;11446;9891;9383;12233;13457;12028;10483;11278
"Total";"Firearms Act";2269;1984;1986;1837;1874;1872;1800;1972;2200;3660;6570;4353;3261;2333
"Total";"Income Tax And Fiscal Acts";189;285;423;959;1599;1638;1173;964;965;1050;1318;1972;2048;1838
"Total";"Other special laws.";2281;2928;10022;13070;11847;17684;20486;19448;16321;16148;19720;12596;13713;22703
"Total";"Health and social security legislation";570;624;645;567;453;401;367;383;476;587;610;1761;3945;1158
"Total";"Building and housing legislation";35;34;33;34;32;37;29;30;27;12;18;25;29;36
"Total";"Environmental Act";687;803;1012;1104;1057;1182;962;754;677;1216;1250;1612;1625;1829
"Total";"Other legislation applying to animals, hunting, etc";1713;2485;3424;3438;2850;2367;1999;1681;1572;1716;1868;1945;1827;1782
"Total";"Employ. and transport legislation, other";1419;1720;2147;2268;1613;2103;1909;1950;2042;1983;2584;2693;1591;2038
"Total";"Companies Act";46;76;92;220;302;187;122;339;154;56;149;355;343;627
"Total";"Other legislation applying to the Armed Forces";589;558;415;514;1304;1396;1270;3471;4521;3808;2726;1016;271;2640
"Total";"Legislation applying to public utilities";150;136;106;188;71;90;53;37;55;53;38;51;27;33
"Total";"Other legislation relating to gambling, licencing, trade";556;593;798;1334;1299;1114;940;680;647;607;717;504;301;597
"Total";"Other special laws";35;30;23;93;36;147;50;55;58;88;102;89;84;49
"Denmark";"Criminal decisions total";116978;121611;130401;134551;134103;134886;129337;126230;116522;113111;123181;136297;129134;124175
"Denmark";"Criminal code, total";22107;23459;23269;22528;20630;19188;18061;16962;14959;14953;15584;16949;15803;15876
"Denmark";"Sexual offenses, total";522;560;498;539;476;425;456;461;457;495;1204;771;747;773
"Denmark";"Incest, etc.";25;29;18;18;17;10;15;9;7;8;10;8;17;8
"Denmark";"Rape, etc";35;29;28;43;30;18;31;36;40;38;42;61;78;83
"Denmark";"Heterosexual offences with children under 12 years";44;49;56;46;33;3;0;2;0;0;0;0;0;1
"Denmark";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;19;44;40;39;36;37;52;43;43;31
"Denmark";"Heterosexual offences, other";110;85;70;93;55;6;1;0;0;0;0;0;0;0
"Denmark";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;17;62;67;75;54;60;73;63;56;58
"Denmark";"Sexual offence, other (New from 2013)";0;0;0;0;6;11;20;16;19;22;25;24;10;6
"Denmark";"Homosexual offences, with children under 12 years";6;3;1;2;1;0;0;0;0;0;0;0;0;0
"Denmark";"Homosexual offences, other";2;4;5;6;0;0;0;0;0;0;0;0;0;0
"Denmark";"Offences against decency, by  pawing";75;93;62;69;60;64;73;62;65;71;61;84;89;76
"Denmark";"Offences against decency, by removing clothes";55;54;45;62;53;65;58;52;42;50;53;87;65;69
"Denmark";"Offences against decency, other";61;101;97;90;89;76;97;108;104;140;464;205;195;199
"Denmark";"Prostitution, etc.";109;113;116;110;96;66;54;62;90;69;424;196;194;242
"Denmark";"Crimes of violence, total";5446;6009;5565;5265;4604;4033;4126;4036;4274;4318;4345;4773;4193;4277
"Denmark";"Assault against public servant while in discharge of his duties";911;1109;1011;1037;963;923;1003;974;1169;1209;1218;1357;1216;1222
"Denmark";"Disturbance of public order";6;80;16;24;6;23;59;68;41;38;57;75;37;75
"Denmark";"Homicide";24;39;16;21;18;13;20;14;22;20;16;25;18;10
"Denmark";"Attempted homicide";17;16;23;14;20;12;14;19;15;14;13;14;18;16
"Denmark";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;2;16
"Denmark";"Common assault";3112;3181;3056;2842;2387;2101;1998;1959;2064;2012;1952;2107;1753;1855
"Denmark";"Grievous assault";706;712;710;632;559;430;436;466;395;461;505;464;426;432
"Denmark";"Particularly grievous assault";14;11;10;8;6;4;7;1;2;6;4;2;8;9
"Denmark";"Assault, unprovoked";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Denmark";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Denmark";"Homicide by negligence/bodily harm";6;11;5;12;7;11;8;9;8;8;6;12;10;5
"Denmark";"Other offences against life and limb";72;95;87;71;53;57;47;52;73;72;61;70;99;83
"Denmark";"Offences against personal liberty";46;75;72;80;69;52;69;50;56;44;44;57;72;52
"Denmark";"Threats";532;679;559;524;516;407;465;424;429;434;469;590;534;502
"Denmark";"Offenses against property, total";15008;15666;15988;15617;14399;13576;12376;11438;9240;9224;9042;10139;9592;9497
"Denmark";"Forgery";244;315;371;287;278;225;186;196;168;117;94;151;129;131
"Denmark";"Cheque forgery";43;45;33;28;3;3;7;4;2;3;1;0;0;0
"Denmark";"Arson";146;158;142;134;111;125;101;101;101;108;88;114;137;96
"Denmark";"Burglary (banks, shops, etc.)";641;768;732;609;516;430;370;318;302;210;201;270;206;175
"Denmark";"Household burglary";496;525;559;552;475;371;313;326;229;213;212;185;166;168
"Denmark";"Burglary (uninhabited buildings)";147;168;164;155;151;114;92;104;88;62;54;68;79;63
"Denmark";"Theft from cars, boats, etc.";233;198;160;159;115;103;79;61;41;51;53;60;63;61
"Denmark";"Shoplifting, etc.";6031;5940;6082;6064;5970;5902;5725;5133;4098;4661;4547;4890;4484;4739
"Denmark";"Other theft";1864;2020;2173;2170;1844;1650;1377;1190;904;957;854;934;890;722
"Denmark";"Theft of vehicle";636;678;645;516;449;378;299;318;341;299;287;286;280;273
"Denmark";"Theft of mopeds";206;200;148;139;100;78;50;32;34;35;33;35;28;23
"Denmark";"Theft of bicycles";137;146;131;166;148;162;117;90;60;62;90;90;88;115
"Denmark";"Theft of other objects";263;280;293;256;245;199;149;132;139;135;127;129;124;105
"Denmark";"Larceny by finding";249;292;363;348;268;240;219;163;154;152;104;150;125;103
"Denmark";"Embezzlement";150;141;133;148;133;133;152;102;68;37;50;68;56;58
"Denmark";"Fraud";656;846;873;1026;1187;1114;1069;1262;966;675;753;932;978;953
"Denmark";"Fraud by cheque";23;22;20;13;12;9;4;2;0;0;0;0;0;0
"Denmark";"Fraud of agent";24;43;45;38;55;59;39;51;56;37;34;28;33;24
"Denmark";"Blackmail and usury";41;32;42;55;35;44;26;22;28;30;36;29;38;44
"Denmark";"Fraud against creditors";15;26;32;41;26;38;33;29;12;9;4;10;12;11
"Denmark";"Handling stolen goods";518;597;688;682;566;535;445;388;282;262;246;294;348;339
"Denmark";"Robbery";553;524;499;428;361;299;256;263;222;200;188;218;247;180
"Denmark";"Gross tax evasion, etc.";36;62;71;54;76;63;55;68;58;39;31;31;30;40
"Denmark";"Malicious damage to property";1523;1554;1474;1426;1179;1083;976;911;744;768;757;992;856;902
"Denmark";"Feloniously receiving stolen goods";28;30;45;34;20;25;31;13;12;4;4;1;4;3
"Denmark";"Misappropriations and offences against property";105;56;70;89;76;194;206;159;131;98;194;174;191;169
"Denmark";"Other offences, total";1993;2247;2223;2116;2067;1880;1831;1641;1524;1529;1631;2038;1980;2011
"Denmark";"Offences against public authority, etc.";491;538;538;508;528;496;410;370;377;501;467;677;679;720
"Denmark";"Offences by public servants";15;12;14;21;12;19;17;17;30;14;25;22;44;26
"Denmark";"Perjury";25;25;43;51;33;33;25;30;20;14;12;16;10;9
"Denmark";"Perjury, other";303;376;330;331;296;258;259;225;193;161;129;170;162;179
"Denmark";"Offences concerning money and evidence";62;103;118;138;93;121;93;73;96;60;85;74;60;105
"Denmark";"Trafficking of drugs, etc.";363;425;513;410;416;398;495;431;318;318;338;395;364;372
"Denmark";"Smuggling, etc. of drugs";61;89;68;103;80;45;62;48;37;42;68;88;114;64
"Denmark";"General public offences";146;272;168;142;140;83;78;86;108;105;106;104;92;88
"Denmark";"Illegal trade, etc.";6;3;3;5;8;2;3;2;0;2;0;0;0;0
"Denmark";"Family relation offences";1;4;11;9;6;11;13;7;5;5;6;5;9;5
"Denmark";"Homicide by negligence in traffic accidents";53;56;43;124;132;115;88;94;108;110;110;127;100;93
"Denmark";"Warnings";81;104;76;46;73;51;1;1;2;0;0;0;0;0
"Denmark";"Privacy infringement, defamation";386;240;298;228;250;248;287;257;230;197;285;360;346;350
