"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Norway";"Firearms Act";6;3;6;3;1;3;2;4;2;4;13;5;5;4
"Norway";"Income Tax And Fiscal Acts";2;0;0;1;4;4;0;1;2;0;3;5;4;4
"Norway";"Other special laws.";1;5;15;21;17;31;52;41;34;40;43;30;51;58
"Norway";"Health and social security legislation";2;0;0;1;1;1;2;1;1;3;0;4;5;3
"Norway";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Norway";"Environmental Act";0;0;0;5;1;3;2;1;1;1;1;3;2;4
"Norway";"Other legislation applying to animals, hunting, etc";4;9;10;5;6;4;1;5;3;5;6;8;6;5
"Norway";"Employ. and transport legislation, other";1;3;1;2;4;0;2;0;3;1;2;5;2;5
"Norway";"Companies Act";0;0;0;0;1;0;0;2;0;0;0;0;1;1
"Norway";"Other legislation applying to the Armed Forces";0;1;0;0;0;0;0;1;3;3;2;1;0;2
"Norway";"Legislation applying to public utilities";1;0;1;0;0;0;0;0;0;0;0;0;0;0
"Norway";"Other legislation relating to gambling, licencing, trade";2;2;0;1;1;4;1;0;2;1;1;1;1;2
"Norway";"Other special laws";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Poland";"Criminal decisions total";776;865;1038;1182;1169;1319;1365;1348;1441;1615;1691;2029;2044;2010
"Poland";"Criminal code, total";204;208;236;238;239;260;226;218;233;215;222;255;256;269
"Poland";"Sexual offenses, total";3;1;4;2;4;4;2;3;7;8;3;4;5;6
"Poland";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Rape, etc";0;1;0;1;0;1;0;0;1;1;0;0;1;1
"Poland";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;1;0;0;0;1;1;2;0
"Poland";"Heterosexual offences, other";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;2;0;0;0;0;0;0
"Poland";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Poland";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Offences against decency, by  pawing";0;0;0;0;1;1;0;1;0;1;1;0;0;1
"Poland";"Offences against decency, by removing clothes";2;0;0;0;1;0;0;0;3;2;0;2;1;2
"Poland";"Offences against decency, other";0;0;1;0;1;0;1;0;2;3;1;0;1;2
"Poland";"Prostitution, etc.";1;0;2;1;1;2;0;0;1;1;0;0;0;0
"Poland";"Crimes of violence, total";36;35;45;47;46;54;38;40;59;48;54;69;62;63
"Poland";"Assault against public servant while in discharge of his duties";2;8;11;3;8;12;13;9;13;12;4;10;17;22
"Poland";"Disturbance of public order";0;1;0;0;0;0;0;1;0;1;0;0;0;1
"Poland";"Homicide";0;1;0;0;1;0;0;0;0;0;1;0;0;1
"Poland";"Attempted homicide";0;0;0;0;1;1;0;0;0;0;1;1;0;0
"Poland";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Poland";"Common assault";25;17;24;27;23;31;16;24;33;20;34;31;31;25
"Poland";"Grievous assault";7;4;3;9;10;6;3;1;10;8;8;16;6;8
"Poland";"Particularly grievous assault";0;0;0;1;0;1;0;1;0;0;0;0;0;0
"Poland";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Homicide by negligence/bodily harm";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Poland";"Other offences against life and limb";0;1;1;0;0;0;0;0;1;2;1;4;1;2
"Poland";"Offences against personal liberty";0;0;0;5;0;0;0;2;1;0;0;1;0;0
"Poland";"Threats";2;3;6;2;3;3;5;2;1;5;5;6;6;3
"Poland";"Offenses against property, total";158;167;183;183;176;200;181;169;159;154;153;168;173;183
"Poland";"Forgery";4;6;2;0;5;1;2;0;4;3;1;3;4;1
"Poland";"Cheque forgery";1;1;1;1;0;0;0;0;0;0;0;0;0;0
"Poland";"Arson";0;0;2;2;1;3;0;1;0;0;2;1;1;2
"Poland";"Burglary (banks, shops, etc.)";6;3;2;1;6;3;2;1;2;2;1;2;1;1
"Poland";"Household burglary";1;1;4;3;2;0;1;0;0;3;2;0;3;2
"Poland";"Burglary (uninhabited buildings)";0;3;1;0;1;2;1;1;0;0;2;1;0;1
"Poland";"Theft from cars, boats, etc.";4;1;1;1;1;2;0;0;0;1;2;1;1;1
"Poland";"Shoplifting, etc.";112;101;121;109;103;130;124;109;103;114;111;120;105;129
"Poland";"Other theft";8;18;18;20;18;18;10;20;15;7;9;12;15;10
"Poland";"Theft of vehicle";4;3;0;3;4;2;3;4;0;1;1;0;7;1
"Poland";"Theft of mopeds";2;1;1;0;0;1;0;0;0;0;0;1;0;0
"Poland";"Theft of bicycles";0;1;2;4;3;5;2;2;2;3;3;4;2;1
"Poland";"Theft of other objects";0;2;3;5;0;2;1;1;1;1;2;0;2;2
"Poland";"Larceny by finding";1;2;3;4;2;1;3;2;2;3;0;0;4;2
"Poland";"Embezzlement";2;0;0;0;0;0;1;0;0;0;0;0;1;1
"Poland";"Fraud";4;4;6;12;9;11;5;12;10;5;5;6;6;11
"Poland";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Fraud of agent";0;1;0;0;0;1;1;0;0;0;0;0;0;1
"Poland";"Blackmail and usury";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Poland";"Fraud against creditors";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Poland";"Handling stolen goods";1;2;4;8;5;5;4;3;6;2;3;3;4;2
"Poland";"Robbery";3;5;5;1;5;5;4;3;3;3;1;3;5;2
"Poland";"Gross tax evasion, etc.";0;0;0;0;2;0;0;0;0;0;1;1;0;1
"Poland";"Malicious damage to property";5;11;7;8;7;7;16;6;7;5;6;8;10;10
"Poland";"Feloniously receiving stolen goods";0;1;0;1;0;0;0;1;0;0;0;0;0;0
"Poland";"Misappropriations and offences against property";0;0;0;0;1;1;1;2;4;1;1;2;2;2
"Poland";"Other offences, total";10;10;13;9;19;12;13;14;13;11;18;20;24;24
"Poland";"Offences against public authority, etc.";1;2;3;3;2;3;5;4;4;2;6;5;6;8
"Poland";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Perjury";0;0;0;1;2;1;2;0;0;0;0;0;0;0
"Poland";"Perjury, other";0;2;2;1;1;0;1;1;3;0;1;3;5;1
"Poland";"Offences concerning money and evidence";2;1;2;0;2;0;0;2;0;0;0;0;1;1
"Poland";"Trafficking of drugs, etc.";1;1;0;1;3;3;1;1;3;2;3;3;5;4
"Poland";"Smuggling, etc. of drugs";0;1;0;0;2;0;0;0;0;2;1;2;3;1
"Poland";"General public offences";1;1;1;1;1;0;1;1;1;0;1;0;0;1
"Poland";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Family relation offences";1;0;0;0;0;0;0;0;0;0;1;0;0;0
"Poland";"Homicide by negligence in traffic accidents";1;1;0;1;1;0;1;2;1;1;0;1;2;2
"Poland";"Warnings";0;0;0;0;1;2;0;0;0;0;0;0;0;0
"Poland";"Privacy infringement, defamation";3;1;5;1;4;3;2;3;1;4;5;6;2;6
"Poland";"Trafic law, total";515;610;684;806;762;846;867;833;919;1041;1052;1464;1446;1281
"Poland";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;1;0;0;0;2;0
"Poland";"Traffic acc. under influence of alcohol";17;18;13;10;10;15;16;8;21;10;14;11;20;16
"Poland";"Drunken driving";71;70;65;96;74;80;77;81;69;85;77;96;81;113
"Poland";"Vehicle defect offences";18;21;27;29;24;20;18;11;7;11;15;16;23;16
"Poland";"Road Traffic Act, other";409;501;579;671;654;731;756;733;821;935;946;1341;1320;1136
"Poland";"Special laws, total";90;96;169;202;245;294;350;349;353;450;512;411;425;564
"Poland";"Euphoriants Act";42;47;63;50;61;81;101;84;61;121;121;120;100;128
"Poland";"Firearms Act";17;11;9;11;10;7;10;16;18;34;57;45;36;27
"Poland";"Income Tax And Fiscal Acts";1;4;7;11;27;24;14;6;11;19;16;20;15;15
"Poland";"Other special laws.";13;10;42;70;73;130;177;182;191;186;212;126;164;263
"Poland";"Health and social security legislation";0;5;3;4;2;1;2;5;10;8;21;29;46;36
"Poland";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poland";"Environmental Act";2;1;4;5;2;0;2;7;2;6;6;6;12;20
"Poland";"Other legislation applying to animals, hunting, etc";6;9;26;22;33;29;21;23;20;29;27;26;16;31
"Poland";"Employ. and transport legislation, other";8;8;10;15;16;12;12;19;27;36;36;33;30;24
"Poland";"Companies Act";0;0;1;1;0;3;1;1;1;0;1;2;2;4
"Poland";"Other legislation applying to the Armed Forces";0;0;0;1;7;1;1;1;6;6;2;0;0;2
"Poland";"Legislation applying to public utilities";1;1;1;1;0;0;0;1;0;1;0;0;2;0
"Poland";"Other legislation relating to gambling, licencing, trade";0;0;3;11;14;5;9;4;6;2;11;3;2;14
"Poland";"Other special laws";0;0;0;0;0;1;0;0;0;2;2;1;0;0
"Portugal";"Criminal decisions total";28;25;22;25;33;44;40;41;58;57;55;74;83;90
"Portugal";"Criminal code, total";5;8;4;7;4;5;12;8;10;8;7;7;6;7
"Portugal";"Sexual offenses, total";0;0;1;0;0;0;0;1;1;0;1;1;1;1
"Portugal";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Rape, etc";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"Portugal";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Portugal";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Portugal";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Offences against decency, by  pawing";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Portugal";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Portugal";"Crimes of violence, total";3;3;0;0;0;0;1;1;4;1;3;0;2;3
"Portugal";"Assault against public servant while in discharge of his duties";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Portugal";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Common assault";1;0;0;0;0;0;1;1;2;1;2;0;2;3
"Portugal";"Grievous assault";0;2;0;0;0;0;0;0;1;0;1;0;0;0
"Portugal";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Threats";2;1;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Offenses against property, total";3;5;3;7;3;5;10;8;7;7;3;6;3;2
"Portugal";"Forgery";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Portugal";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Arson";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Portugal";"Burglary (banks, shops, etc.)";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Portugal";"Household burglary";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Shoplifting, etc.";2;3;2;4;2;4;9;5;2;4;3;5;3;1
"Portugal";"Other theft";0;1;0;0;0;0;0;0;0;2;0;0;0;1
"Portugal";"Theft of vehicle";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Theft of bicycles";0;0;0;0;1;0;0;1;0;0;0;0;0;0
"Portugal";"Theft of other objects";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Larceny by finding";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Portugal";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Fraud";0;0;0;0;0;1;0;1;0;1;0;0;0;0
"Portugal";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Handling stolen goods";0;0;0;1;0;0;0;0;1;0;0;0;0;0
"Portugal";"Robbery";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Portugal";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Malicious damage to property";1;1;1;1;0;0;0;0;2;0;0;1;0;0
"Portugal";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Other offences, total";0;0;0;0;1;0;1;0;0;0;0;0;0;1
"Portugal";"Offences against public authority, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Portugal";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Perjury, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Offences concerning money and evidence";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Trafficking of drugs, etc.";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Portugal";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Privacy infringement, defamation";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Portugal";"Trafic law, total";21;15;13;13;26;29;23;20;36;33;34;53;49;53
"Portugal";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Traffic acc. under influence of alcohol";1;0;0;0;0;0;0;1;0;0;0;0;1;0
"Portugal";"Drunken driving";2;1;0;2;2;1;1;3;0;2;5;1;3;3
"Portugal";"Vehicle defect offences";1;0;0;0;1;0;0;0;0;0;0;2;0;0
"Portugal";"Road Traffic Act, other";17;14;13;11;23;28;22;16;36;31;29;50;45;50
"Portugal";"Special laws, total";2;2;5;6;3;10;8;13;16;18;19;16;30;33
"Portugal";"Euphoriants Act";1;1;2;2;2;8;3;8;7;10;10;5;8;12
"Portugal";"Firearms Act";1;0;0;1;0;0;1;0;1;3;1;0;1;2
"Portugal";"Income Tax And Fiscal Acts";0;0;0;0;0;0;0;0;0;0;1;1;1;0
"Portugal";"Other special laws.";0;0;1;2;0;1;4;5;7;3;6;6;15;15
"Portugal";"Health and social security legislation";0;0;0;0;0;0;0;0;0;0;0;0;3;1
"Portugal";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Environmental Act";0;0;0;1;0;0;0;0;0;0;0;0;1;0
"Portugal";"Other legislation applying to animals, hunting, etc";0;1;1;0;0;0;0;0;0;2;0;2;1;2
"Portugal";"Employ. and transport legislation, other";0;0;1;0;0;1;0;0;1;0;0;1;0;0
"Portugal";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Portugal";"Other legislation applying to the Armed Forces";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Portugal";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Portugal";"Other legislation relating to gambling, licencing, trade";0;0;0;0;1;0;0;0;0;0;1;0;0;0
"Portugal";"Other special laws";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Criminal decisions total";169;256;394;498;563;743;880;949;1015;1193;1462;1752;1898;2119
"Romania";"Criminal code, total";50;78;100;108;144;148;177;159;122;182;152;204;203;315
"Romania";"Sexual offenses, total";1;1;0;1;2;2;6;2;3;2;3;6;11;6
"Romania";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Rape, etc";0;1;0;0;2;0;2;0;3;0;0;0;0;0
"Romania";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Heterosexual offences, other";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Romania";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Offences against decency, by  pawing";1;0;0;0;0;1;0;0;0;1;0;0;1;1
"Romania";"Offences against decency, by removing clothes";0;0;0;0;0;1;2;0;0;1;1;1;2;1
"Romania";"Offences against decency, other";0;0;0;0;0;0;2;0;0;0;0;1;2;2
"Romania";"Prostitution, etc.";0;0;0;0;0;0;0;2;0;0;2;4;6;2
"Romania";"Crimes of violence, total";8;7;13;8;15;15;13;20;22;22;19;22;31;27
"Romania";"Assault against public servant while in discharge of his duties";0;0;1;1;1;1;3;2;2;2;4;2;5;3
"Romania";"Disturbance of public order";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Romania";"Homicide";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Romania";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Romania";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Common assault";6;6;12;5;12;11;8;8;12;12;7;13;18;16
"Romania";"Grievous assault";2;1;0;1;1;1;0;2;5;6;3;2;5;3
"Romania";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Other offences against life and limb";0;0;0;0;0;1;0;0;0;0;0;1;1;0
"Romania";"Offences against personal liberty";0;0;0;0;0;0;0;5;1;0;0;0;0;1
"Romania";"Threats";0;0;0;1;1;1;1;2;2;2;5;4;2;3
"Romania";"Offenses against property, total";42;69;84;97;126;128;156;136;96;152;123;173;155;278
"Romania";"Forgery";1;2;5;5;1;0;4;3;2;3;2;3;4;0
"Romania";"Cheque forgery";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Romania";"Arson";0;0;0;1;0;0;0;0;0;0;1;1;0;1
"Romania";"Burglary (banks, shops, etc.)";1;2;1;0;1;0;1;2;1;1;1;4;1;0
"Romania";"Household burglary";3;1;0;0;0;2;0;1;1;1;0;1;0;1
"Romania";"Burglary (uninhabited buildings)";0;0;1;2;0;0;0;1;0;0;0;1;2;1
"Romania";"Theft from cars, boats, etc.";0;0;0;0;0;0;1;0;0;2;0;1;0;1
"Romania";"Shoplifting, etc.";31;50;52;55;85;89;104;80;71;115;98;118;101;228
"Romania";"Other theft";2;3;8;8;11;17;12;24;5;10;12;9;18;18
"Romania";"Theft of vehicle";0;0;1;1;0;0;0;1;2;2;0;3;0;1
"Romania";"Theft of mopeds";0;0;0;1;0;0;0;0;0;0;0;1;1;0
"Romania";"Theft of bicycles";2;2;1;4;7;6;5;3;2;1;0;1;0;3
"Romania";"Theft of other objects";1;0;0;1;1;0;1;0;0;0;0;0;0;0
"Romania";"Larceny by finding";0;0;2;3;6;6;2;0;3;0;0;1;3;0
"Romania";"Embezzlement";1;0;1;0;1;0;0;0;0;0;0;0;0;0
"Romania";"Fraud";0;1;2;1;4;4;11;10;4;9;2;5;9;7
"Romania";"Fraud by cheque";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Romania";"Fraud of agent";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Romania";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Romania";"Fraud against creditors";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Romania";"Handling stolen goods";0;6;7;7;2;3;7;4;3;5;0;14;6;5
"Romania";"Robbery";0;1;1;4;2;0;2;0;0;1;2;1;5;2
"Romania";"Gross tax evasion, etc.";0;0;0;0;0;1;0;0;0;0;0;1;0;0
"Romania";"Malicious damage to property";0;1;2;3;3;0;4;4;1;2;4;5;5;5
"Romania";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Misappropriations and offences against property";0;0;0;0;0;0;1;3;1;0;1;3;0;4
"Romania";"Other offences, total";0;2;6;3;4;3;3;6;2;9;9;7;8;13
"Romania";"Offences against public authority, etc.";0;0;1;1;1;0;1;3;1;2;3;3;1;3
"Romania";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Perjury";0;0;0;0;0;0;0;0;0;0;0;2;0;0
"Romania";"Perjury, other";0;2;2;1;0;2;1;1;1;0;0;0;1;1
"Romania";"Offences concerning money and evidence";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Romania";"Trafficking of drugs, etc.";0;0;0;0;1;0;1;0;0;1;1;0;1;1
"Romania";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;2;0
"Romania";"General public offences";0;0;1;0;0;1;0;0;0;0;2;0;0;1
"Romania";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Romania";"Homicide by negligence in traffic accidents";0;0;0;1;0;0;0;0;0;2;1;0;1;0
"Romania";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Privacy infringement, defamation";0;0;2;0;2;0;0;1;0;4;2;1;2;7
"Romania";"Trafic law, total";106;163;263;357;379;510;584;656;724;825;1017;1331;1465;1461
"Romania";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Romania";"Traffic acc. under influence of alcohol";1;0;2;2;7;3;8;10;10;11;14;16;17;15
"Romania";"Drunken driving";10;11;30;39;42;38;53;56;47;67;69;56;78;62
"Romania";"Vehicle defect offences";6;11;13;28;23;21;10;13;12;15;19;23;20;29
"Romania";"Road Traffic Act, other";89;141;218;288;307;448;513;577;654;732;915;1236;1350;1355
"Romania";"Special laws, total";21;22;43;61;57;120;146;184;206;245;350;294;314;464
"Romania";"Euphoriants Act";8;9;17;15;14;31;37;47;40;47;70;78;58;73
"Romania";"Firearms Act";4;4;4;8;2;4;7;11;15;20;50;33;35;38
"Romania";"Income Tax And Fiscal Acts";0;1;1;6;8;16;4;10;8;14;12;25;30;37
"Romania";"Other special laws.";2;3;13;18;20;49;77;87;101;118;162;87;123;212
"Romania";"Health and social security legislation";0;0;0;1;1;1;3;2;0;2;5;7;28;12
"Romania";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Romania";"Environmental Act";1;0;2;0;1;1;0;1;3;4;6;7;8;23
"Romania";"Other legislation applying to animals, hunting, etc";2;3;2;6;5;8;11;13;9;13;18;25;14;20
"Romania";"Employ. and transport legislation, other";2;2;3;3;3;7;3;4;18;18;21;28;18;38
"Romania";"Companies Act";0;0;0;0;0;0;0;0;0;1;0;0;0;2
"Romania";"Other legislation applying to the Armed Forces";2;0;1;0;0;0;0;2;3;3;1;1;0;1
"Romania";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Romania";"Other legislation relating to gambling, licencing, trade";0;0;0;4;3;3;4;7;8;3;5;2;0;7
"Romania";"Other special laws";0;0;0;0;0;0;0;0;1;2;0;1;0;0
"Russia";"Criminal decisions total";113;171;161;176;201;163;207;183;177;185;199;234;265;209
"Russia";"Criminal code, total";42;66;63;50;72;42;53;48;46;36;29;41;48;49
"Russia";"Sexual offenses, total";0;2;0;0;0;0;0;0;0;0;1;3;1;1
"Russia";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Rape, etc";0;1;0;0;0;0;0;0;0;0;0;1;0;1
"Russia";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Offences against decency, by removing clothes";0;1;0;0;0;0;0;0;0;0;0;0;1;0
"Russia";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;1;2;0;0
"Russia";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Russia";"Crimes of violence, total";5;7;14;5;12;5;6;12;8;13;4;9;12;7
"Russia";"Assault against public servant while in discharge of his duties";1;1;3;3;0;1;0;3;1;1;1;0;3;1
"Russia";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
