"Persons guilty in crimes by type of offence, region and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Holstebro",1501,1473,1487,1538,1445,1518,1650,1998,1895,1836
" ","Ikast-Brande",1115,1153,1471,1467,1252,1156,1373,1497,1349,1357
" ","Lemvig",571,542,577,530,527,550,618,672,666,558
" ","Ringkøbing-Skjern",1450,1379,1523,1610,1421,1403,1526,1822,1641,1423
" ","Skive",1356,1238,1213,1323,1315,1212,1384,1597,1593,1386
" ","Struer",509,486,585,537,512,525,611,712,698,621
" ","Viborg",2563,2705,2499,2988,2499,2316,2770,3082,3107,2710
" ","Region Nordjylland",15328,16238,14797,15183,15615,15451,14746,17616,17831,16870
" ","Brønderslev",923,984,855,844,891,966,867,1095,1081,1014
" ","Frederikshavn",1675,1422,1224,1457,1393,1377,1360,1545,1507,1416
" ","Hjørring",1882,1853,1449,1414,1661,1433,1696,1948,1774,1670
" ","Jammerbugt",973,1135,1016,1036,1078,989,944,1192,1213,1141
" ","Læsø",23,26,27,34,31,21,29,32,24,34
" ","Mariagerfjord",1170,1191,1144,1063,1264,1184,1015,1353,1420,1358
" ","Morsø",535,504,493,571,595,713,670,754,705,666
" ","Rebild",662,766,724,717,749,754,635,823,830,816
" ","Thisted",975,990,1111,1282,1358,1570,1525,1734,1719,1567
" ","Vesthimmerlands",913,1123,965,1073,1046,1035,984,1164,1199,1222
" ","Aalborg",5597,6244,5789,5692,5549,5409,5021,5976,6359,5966
"Criminal code, total"
" ","All Denmark",27029,25481,24300,23041,20940,20949,21520,23428,22283,22417
" ","Region Hovedstaden",8895,8457,8156,7640,7132,7157,7518,8016,7853,7864
" ","Copenhagen",3663,3406,3364,3225,2824,2874,3062,3403,3195,3220
" ","Frederiksberg",384,381,331,332,297,314,367,363,344,356
" ","Dragør",21,24,26,31,29,29,19,31,33,34
" ","Tårnby",193,188,177,193,146,155,148,195,198,194
" ","Albertslund",202,190,185,167,168,144,196,172,147,171
" ","Ballerup",266,259,227,178,184,179,215,221,191,203
" ","Brøndby",257,306,303,229,273,234,245,248,277,263
" ","Gentofte",199,180,168,165,159,194,187,199,192,197
" ","Gladsaxe",331,291,330,266,265,282,283,304,243,303
" ","Glostrup",147,161,132,136,115,114,109,118,137,147
" ","Herlev",145,149,124,128,117,121,131,117,107,111
" ","Hvidovre",305,293,299,239,246,250,245,248,255,249
" ","Høje-Taastrup",300,307,296,277,278,281,272,304,250,258
" ","Ishøj",193,152,160,159,172,140,151,120,161,129
" ","Lyngby-Taarbæk",183,161,157,117,141,153,166,150,150,160
" ","Rødovre",252,205,202,167,163,160,197,193,207,198
" ","Vallensbæk",64,65,61,58,63,42,52,52,55,57
" ","Allerød",46,49,48,36,38,32,30,40,38,33
" ","Egedal",105,86,86,95,79,92,95,88,108,99
" ","Fredensborg",151,179,130,133,117,120,132,125,134,141
" ","Frederikssund",182,185,156,169,146,137,122,143,183,158
" ","Furesø",126,115,128,103,103,92,95,98,113,99
" ","Gribskov",140,145,124,113,144,126,106,115,159,136
" ","Halsnæs",168,154,159,131,124,120,121,120,139,121
" ","Helsingør",325,348,288,269,252,307,247,307,331,286
" ","Hillerød",195,171,151,175,178,181,175,214,203,254
" ","Hørsholm",51,37,41,50,47,48,68,47,53,54
" ","Rudersdal",114,101,130,111,121,99,133,137,119,125
