"Persons guilty in crimes by type of offence, region and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Assens",0,0,0,0,0,0,0,0,0,0
" ","Faaborg-Midtfyn",0,0,0,0,0,0,0,0,0,0
" ","Kerteminde",0,0,0,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,0,0,0,1,0,0
" ","Middelfart",0,0,0,0,0,0,0,0,0,0
" ","Nordfyns",0,0,0,0,0,0,0,0,0,0
" ","Nyborg",0,0,0,0,0,0,0,0,0,0
" ","Odense",0,0,0,0,0,0,0,0,0,0
" ","Svendborg",0,0,0,0,0,0,0,0,0,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,0,0,0
" ","Esbjerg",0,1,0,0,0,0,0,0,0,0
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,0,0,0,0,1,0,0,0
" ","Haderslev",0,0,0,0,0,0,0,0,0,0
" ","Kolding",0,0,0,0,0,0,0,0,0,0
" ","Sønderborg",0,0,0,0,0,0,0,0,0,0
" ","Tønder",0,0,1,0,0,0,0,0,0,0
" ","Varde",0,0,0,0,0,0,0,0,0,0
" ","Vejen",0,0,0,0,0,0,0,0,0,0
" ","Vejle",0,0,0,0,1,3,0,0,0,0
" ","Aabenraa",0,0,0,0,0,0,0,0,0,0
" ","Region Midtjylland",2,1,2,1,1,2,1,0,4,6
" ","Favrskov",0,0,0,0,0,0,0,0,0,0
" ","Hedensted",0,0,0,0,0,0,0,0,0,0
" ","Horsens",0,0,0,0,0,0,0,0,3,0
" ","Norddjurs",0,0,0,0,0,0,0,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",0,0,0,0,0,0,0,0,0,1
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,1,0,0,0,0,0,1,0
" ","Skanderborg",0,0,0,0,0,0,0,0,0,0
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",0,0,0,0,1,0,0,0,0,2
" ","Herning",0,1,0,0,0,1,0,0,0,3
" ","Holstebro",0,0,0,0,0,0,0,0,0,0
" ","Ikast-Brande",0,0,0,0,0,0,0,0,0,0
" ","Lemvig",0,0,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",2,0,0,0,0,0,0,0,0,0
" ","Skive",0,0,1,0,0,0,0,0,0,0
" ","Struer",0,0,0,0,0,0,0,0,0,0
" ","Viborg",0,0,0,1,0,1,1,0,0,0
" ","Region Nordjylland",1,0,1,0,1,0,1,0,0,1
" ","Brønderslev",0,0,0,0,0,0,0,0,0,1
" ","Frederikshavn",0,0,0,0,0,0,0,0,0,0
" ","Hjørring",0,0,0,0,0,0,1,0,0,0
" ","Jammerbugt",0,0,1,0,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",0,0,0,0,0,0,0,0,0,0
" ","Morsø",0,0,0,0,0,0,0,0,0,0
" ","Rebild",0,0,0,0,0,0,0,0,0,0
" ","Thisted",0,0,0,0,0,0,0,0,0,0
" ","Vesthimmerlands",0,0,0,0,0,0,0,0,0,0
" ","Aalborg",1,0,0,0,1,0,0,0,0,0
"Assault, unprovoked"
" ","All Denmark",0,0,0,0,0,0,0,0,0,0
" ","Region Hovedstaden",0,0,0,0,0,0,0,0,0,0
" ","Copenhagen",0,0,0,0,0,0,0,0,0,0
" ","Frederiksberg",0,0,0,0,0,0,0,0,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,0,0,0,0,0,0,0,0
" ","Albertslund",0,0,0,0,0,0,0,0,0,0
" ","Ballerup",0,0,0,0,0,0,0,0,0,0
" ","Brøndby",0,0,0,0,0,0,0,0,0,0
" ","Gentofte",0,0,0,0,0,0,0,0,0,0
" ","Gladsaxe",0,0,0,0,0,0,0,0,0,0
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,0,0,0,0,0,0,0
" ","Hvidovre",0,0,0,0,0,0,0,0,0,0
" ","Høje-Taastrup",0,0,0,0,0,0,0,0,0,0
" ","Ishøj",0,0,0,0,0,0,0,0,0,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,0,0,0
" ","Rødovre",0,0,0,0,0,0,0,0,0,0
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,0,0,0
" ","Fredensborg",0,0,0,0,0,0,0,0,0,0
" ","Frederikssund",0,0,0,0,0,0,0,0,0,0
" ","Furesø",0,0,0,0,0,0,0,0,0,0
" ","Gribskov",0,0,0,0,0,0,0,0,0,0
" ","Halsnæs",0,0,0,0,0,0,0,0,0,0
" ","Helsingør",0,0,0,0,0,0,0,0,0,0
" ","Hillerød",0,0,0,0,0,0,0,0,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0
" ","Bornholm",0,0,0,0,0,0,0,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",0,0,0,0,0,0,0,0,0,0
" ","Greve",0,0,0,0,0,0,0,0,0,0
" ","Køge",0,0,0,0,0,0,0,0,0,0
" ","Lejre",0,0,0,0,0,0,0,0,0,0
" ","Roskilde",0,0,0,0,0,0,0,0,0,0
" ","Solrød",0,0,0,0,0,0,0,0,0,0
" ","Faxe",0,0,0,0,0,0,0,0,0,0
" ","Guldborgsund",0,0,0,0,0,0,0,0,0,0
" ","Holbæk",0,0,0,0,0,0,0,0,0,0
" ","Kalundborg",0,0,0,0,0,0,0,0,0,0
" ","Lolland",0,0,0,0,0,0,0,0,0,0
" ","Næstved",0,0,0,0,0,0,0,0,0,0
" ","Odsherred",0,0,0,0,0,0,0,0,0,0
" ","Ringsted",0,0,0,0,0,0,0,0,0,0
" ","Slagelse",0,0,0,0,0,0,0,0,0,0
" ","Sorø",0,0,0,0,0,0,0,0,0,0
" ","Stevns",0,0,0,0,0,0,0,0,0,0
" ","Vordingborg",0,0,0,0,0,0,0,0,0,0
" ","Region Syddanmark",0,0,0,0,0,0,0,0,0,0
" ","Assens",0,0,0,0,0,0,0,0,0,0
" ","Faaborg-Midtfyn",0,0,0,0,0,0,0,0,0,0
" ","Kerteminde",0,0,0,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,0,0,0,0,0,0
" ","Middelfart",0,0,0,0,0,0,0,0,0,0
" ","Nordfyns",0,0,0,0,0,0,0,0,0,0
" ","Nyborg",0,0,0,0,0,0,0,0,0,0
" ","Odense",0,0,0,0,0,0,0,0,0,0
" ","Svendborg",0,0,0,0,0,0,0,0,0,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,0,0,0
" ","Esbjerg",0,0,0,0,0,0,0,0,0,0
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,0,0,0,0,0,0,0,0
" ","Haderslev",0,0,0,0,0,0,0,0,0,0
" ","Kolding",0,0,0,0,0,0,0,0,0,0
" ","Sønderborg",0,0,0,0,0,0,0,0,0,0
" ","Tønder",0,0,0,0,0,0,0,0,0,0
" ","Varde",0,0,0,0,0,0,0,0,0,0
" ","Vejen",0,0,0,0,0,0,0,0,0,0
" ","Vejle",0,0,0,0,0,0,0,0,0,0
" ","Aabenraa",0,0,0,0,0,0,0,0,0,0
" ","Region Midtjylland",0,0,0,0,0,0,0,0,0,0
" ","Favrskov",0,0,0,0,0,0,0,0,0,0
" ","Hedensted",0,0,0,0,0,0,0,0,0,0
" ","Horsens",0,0,0,0,0,0,0,0,0,0
" ","Norddjurs",0,0,0,0,0,0,0,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",0,0,0,0,0,0,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,0,0,0,0,0,0,0,0
" ","Skanderborg",0,0,0,0,0,0,0,0,0,0
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",0,0,0,0,0,0,0,0,0,0
" ","Herning",0,0,0,0,0,0,0,0,0,0
" ","Holstebro",0,0,0,0,0,0,0,0,0,0
" ","Ikast-Brande",0,0,0,0,0,0,0,0,0,0
" ","Lemvig",0,0,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",0,0,0,0,0,0,0,0,0,0
" ","Skive",0,0,0,0,0,0,0,0,0,0
" ","Struer",0,0,0,0,0,0,0,0,0,0
" ","Viborg",0,0,0,0,0,0,0,0,0,0
" ","Region Nordjylland",0,0,0,0,0,0,0,0,0,0
" ","Brønderslev",0,0,0,0,0,0,0,0,0,0
" ","Frederikshavn",0,0,0,0,0,0,0,0,0,0
" ","Hjørring",0,0,0,0,0,0,0,0,0,0
" ","Jammerbugt",0,0,0,0,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",0,0,0,0,0,0,0,0,0,0
" ","Morsø",0,0,0,0,0,0,0,0,0,0
" ","Rebild",0,0,0,0,0,0,0,0,0,0
" ","Thisted",0,0,0,0,0,0,0,0,0,0
" ","Vesthimmerlands",0,0,0,0,0,0,0,0,0,0
" ","Aalborg",0,0,0,0,0,0,0,0,0,0
"Intentional bodily harm"
" ","All Denmark",0,0,0,0,0,0,0,0,0,0
" ","Region Hovedstaden",0,0,0,0,0,0,0,0,0,0
" ","Copenhagen",0,0,0,0,0,0,0,0,0,0
" ","Frederiksberg",0,0,0,0,0,0,0,0,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,0,0,0,0,0,0,0,0
" ","Albertslund",0,0,0,0,0,0,0,0,0,0
" ","Ballerup",0,0,0,0,0,0,0,0,0,0
" ","Brøndby",0,0,0,0,0,0,0,0,0,0
" ","Gentofte",0,0,0,0,0,0,0,0,0,0
" ","Gladsaxe",0,0,0,0,0,0,0,0,0,0
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,0,0,0,0,0,0,0
" ","Hvidovre",0,0,0,0,0,0,0,0,0,0
" ","Høje-Taastrup",0,0,0,0,0,0,0,0,0,0
" ","Ishøj",0,0,0,0,0,0,0,0,0,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,0,0,0
" ","Rødovre",0,0,0,0,0,0,0,0,0,0
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,0,0,0
" ","Fredensborg",0,0,0,0,0,0,0,0,0,0
" ","Frederikssund",0,0,0,0,0,0,0,0,0,0
" ","Furesø",0,0,0,0,0,0,0,0,0,0
" ","Gribskov",0,0,0,0,0,0,0,0,0,0
" ","Halsnæs",0,0,0,0,0,0,0,0,0,0
" ","Helsingør",0,0,0,0,0,0,0,0,0,0
" ","Hillerød",0,0,0,0,0,0,0,0,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0
" ","Bornholm",0,0,0,0,0,0,0,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",0,0,0,0,0,0,0,0,0,0
" ","Greve",0,0,0,0,0,0,0,0,0,0
" ","Køge",0,0,0,0,0,0,0,0,0,0
" ","Lejre",0,0,0,0,0,0,0,0,0,0
" ","Roskilde",0,0,0,0,0,0,0,0,0,0
" ","Solrød",0,0,0,0,0,0,0,0,0,0
" ","Faxe",0,0,0,0,0,0,0,0,0,0
" ","Guldborgsund",0,0,0,0,0,0,0,0,0,0
" ","Holbæk",0,0,0,0,0,0,0,0,0,0
" ","Kalundborg",0,0,0,0,0,0,0,0,0,0
" ","Lolland",0,0,0,0,0,0,0,0,0,0
" ","Næstved",0,0,0,0,0,0,0,0,0,0
" ","Odsherred",0,0,0,0,0,0,0,0,0,0
" ","Ringsted",0,0,0,0,0,0,0,0,0,0
" ","Slagelse",0,0,0,0,0,0,0,0,0,0
" ","Sorø",0,0,0,0,0,0,0,0,0,0
" ","Stevns",0,0,0,0,0,0,0,0,0,0
" ","Vordingborg",0,0,0,0,0,0,0,0,0,0
" ","Region Syddanmark",0,0,0,0,0,0,0,0,0,0
" ","Assens",0,0,0,0,0,0,0,0,0,0
" ","Faaborg-Midtfyn",0,0,0,0,0,0,0,0,0,0
" ","Kerteminde",0,0,0,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,0,0,0,0,0,0
" ","Middelfart",0,0,0,0,0,0,0,0,0,0
" ","Nordfyns",0,0,0,0,0,0,0,0,0,0
" ","Nyborg",0,0,0,0,0,0,0,0,0,0
" ","Odense",0,0,0,0,0,0,0,0,0,0
" ","Svendborg",0,0,0,0,0,0,0,0,0,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,0,0,0
" ","Esbjerg",0,0,0,0,0,0,0,0,0,0
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,0,0,0,0,0,0,0,0
" ","Haderslev",0,0,0,0,0,0,0,0,0,0
" ","Kolding",0,0,0,0,0,0,0,0,0,0
" ","Sønderborg",0,0,0,0,0,0,0,0,0,0
" ","Tønder",0,0,0,0,0,0,0,0,0,0
" ","Varde",0,0,0,0,0,0,0,0,0,0
" ","Vejen",0,0,0,0,0,0,0,0,0,0
" ","Vejle",0,0,0,0,0,0,0,0,0,0
" ","Aabenraa",0,0,0,0,0,0,0,0,0,0
" ","Region Midtjylland",0,0,0,0,0,0,0,0,0,0
" ","Favrskov",0,0,0,0,0,0,0,0,0,0
" ","Hedensted",0,0,0,0,0,0,0,0,0,0
" ","Horsens",0,0,0,0,0,0,0,0,0,0
" ","Norddjurs",0,0,0,0,0,0,0,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",0,0,0,0,0,0,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,0,0,0,0,0,0,0,0
" ","Skanderborg",0,0,0,0,0,0,0,0,0,0
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",0,0,0,0,0,0,0,0,0,0
" ","Herning",0,0,0,0,0,0,0,0,0,0
" ","Holstebro",0,0,0,0,0,0,0,0,0,0
" ","Ikast-Brande",0,0,0,0,0,0,0,0,0,0
" ","Lemvig",0,0,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",0,0,0,0,0,0,0,0,0,0
" ","Skive",0,0,0,0,0,0,0,0,0,0
" ","Struer",0,0,0,0,0,0,0,0,0,0
" ","Viborg",0,0,0,0,0,0,0,0,0,0
" ","Region Nordjylland",0,0,0,0,0,0,0,0,0,0
" ","Brønderslev",0,0,0,0,0,0,0,0,0,0
" ","Frederikshavn",0,0,0,0,0,0,0,0,0,0
" ","Hjørring",0,0,0,0,0,0,0,0,0,0
" ","Jammerbugt",0,0,0,0,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",0,0,0,0,0,0,0,0,0,0
" ","Morsø",0,0,0,0,0,0,0,0,0,0
" ","Rebild",0,0,0,0,0,0,0,0,0,0
" ","Thisted",0,0,0,0,0,0,0,0,0,0
" ","Vesthimmerlands",0,0,0,0,0,0,0,0,0,0
" ","Aalborg",0,0,0,0,0,0,0,0,0,0
"Homicide by negligence/bodily harm"
" ","All Denmark",7,11,10,12,10,11,9,14,10,6
" ","Region Hovedstaden",1,3,1,5,3,4,4,2,3,1
" ","Copenhagen",0,0,1,3,0,0,1,0,2,0
" ","Frederiksberg",0,0,0,0,0,0,1,0,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,0,0,0,0,0,0,0,0
" ","Albertslund",0,0,0,0,0,0,0,0,0,0
" ","Ballerup",0,0,0,0,1,0,0,0,0,0
" ","Brøndby",0,0,0,0,0,2,0,0,0,0
" ","Gentofte",0,1,0,0,0,0,0,0,1,0
" ","Gladsaxe",0,0,0,0,0,0,0,0,0,0
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,0,0,0,0,0,0,0
" ","Hvidovre",0,0,0,0,0,0,0,0,0,0
" ","Høje-Taastrup",0,0,0,0,1,2,2,0,0,0
" ","Ishøj",0,1,0,0,0,0,0,1,0,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,0,0,0
" ","Rødovre",0,0,0,0,0,0,0,0,0,0
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,0,0
" ","Egedal",0,1,0,0,0,0,0,0,0,0
" ","Fredensborg",0,0,0,1,0,0,0,0,0,0
" ","Frederikssund",0,0,0,0,0,0,0,0,0,0
" ","Furesø",0,0,0,0,0,0,0,1,0,0
" ","Gribskov",0,0,0,0,0,0,0,0,0,1
" ","Halsnæs",1,0,0,0,0,0,0,0,0,0
" ","Helsingør",0,0,0,0,0,0,0,0,0,0
" ","Hillerød",0,0,0,0,0,0,0,0,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0
" ","Bornholm",0,0,0,1,1,0,0,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",2,1,2,0,0,3,1,4,2,3
" ","Greve",0,0,0,0,0,0,0,0,0,0
" ","Køge",0,0,0,0,0,0,0,0,0,0
" ","Lejre",0,0,0,0,0,1,0,0,0,0
" ","Roskilde",0,0,0,0,0,0,0,0,0,0
" ","Solrød",0,0,0,0,0,0,0,1,0,0
" ","Faxe",0,0,0,0,0,0,0,1,0,0
" ","Guldborgsund",0,1,0,0,0,0,0,0,0,1
" ","Holbæk",0,0,0,0,0,0,0,2,0,0
" ","Kalundborg",0,0,0,0,0,0,0,0,1,0
" ","Lolland",0,0,0,0,0,0,0,0,0,0
" ","Næstved",2,0,1,0,0,1,0,0,0,0
" ","Odsherred",0,0,0,0,0,0,0,0,0,1
" ","Ringsted",0,0,0,0,0,0,0,0,0,1
" ","Slagelse",0,0,1,0,0,1,0,0,0,0
" ","Sorø",0,0,0,0,0,0,0,0,0,0
" ","Stevns",0,0,0,0,0,0,0,0,0,0
" ","Vordingborg",0,0,0,0,0,0,1,0,1,0
" ","Region Syddanmark",1,5,2,0,3,2,0,4,4,1
" ","Assens",0,0,0,0,1,1,0,0,1,0
" ","Faaborg-Midtfyn",0,0,0,0,0,0,0,0,0,0
" ","Kerteminde",0,0,0,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,0,0,0,0,0,0
" ","Middelfart",0,0,0,0,0,0,0,0,0,0
" ","Nordfyns",0,0,0,0,0,0,0,0,0,0
" ","Nyborg",0,0,0,0,0,0,0,0,0,0
" ","Odense",0,1,0,0,0,0,0,1,0,0
" ","Svendborg",0,0,0,0,0,0,0,0,1,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,0,0,0
" ","Esbjerg",0,0,1,0,1,0,0,0,1,1
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,0,0,0,0,0,0,0,0
" ","Haderslev",1,2,0,0,1,0,0,1,0,0
" ","Kolding",0,0,0,0,0,0,0,0,0,0
" ","Sønderborg",0,0,0,0,0,1,0,0,0,0
" ","Tønder",0,0,0,0,0,0,0,0,0,0
" ","Varde",0,1,0,0,0,0,0,1,0,0
" ","Vejen",0,1,0,0,0,0,0,0,0,0
" ","Vejle",0,0,1,0,0,0,0,1,1,0
" ","Aabenraa",0,0,0,0,0,0,0,0,0,0
" ","Region Midtjylland",3,1,4,2,3,1,3,3,1,1
" ","Favrskov",0,0,0,0,0,0,0,0,0,0
" ","Hedensted",0,0,1,0,0,0,0,2,0,0
" ","Horsens",0,0,0,0,0,0,0,0,0,0
" ","Norddjurs",0,0,0,0,0,0,0,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",0,0,0,0,0,0,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",2,0,0,0,0,0,1,0,0,1
" ","Skanderborg",0,0,1,0,2,0,0,1,0,0
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",1,1,1,1,0,0,1,0,0,0
" ","Herning",0,0,0,0,0,0,0,0,0,0
" ","Holstebro",0,0,0,1,0,0,0,0,0,0
" ","Ikast-Brande",0,0,0,0,0,1,1,0,0,0
" ","Lemvig",0,0,0,0,0,0,0,0,1,0
" ","Ringkøbing-Skjern",0,0,0,0,1,0,0,0,0,0
" ","Skive",0,0,0,0,0,0,0,0,0,0
" ","Struer",0,0,0,0,0,0,0,0,0,0
" ","Viborg",0,0,1,0,0,0,0,0,0,0
" ","Region Nordjylland",0,1,1,5,1,1,1,1,0,0
" ","Brønderslev",0,0,0,1,0,1,0,0,0,0
" ","Frederikshavn",0,0,0,0,0,0,0,0,0,0
" ","Hjørring",0,0,0,0,1,0,0,0,0,0
" ","Jammerbugt",0,0,0,0,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",0,0,0,1,0,0,0,0,0,0
" ","Morsø",0,0,1,3,0,0,0,0,0,0
" ","Rebild",0,0,0,0,0,0,0,0,0,0
" ","Thisted",0,0,0,0,0,0,0,0,0,0
" ","Vesthimmerlands",0,0,0,0,0,0,1,1,0,0
" ","Aalborg",0,1,0,0,0,0,0,0,0,0
"Other offences against life and limb"
" ","All Denmark",82,83,75,81,93,106,88,107,136,107
" ","Region Hovedstaden",25,30,29,29,26,26,28,35,42,33
" ","Copenhagen",12,10,9,9,8,12,11,10,13,12
" ","Frederiksberg",2,2,1,0,0,0,2,2,1,1
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,0,0,0,2,2,1,0,1
" ","Albertslund",0,0,1,0,1,1,0,2,0,1
" ","Ballerup",0,2,1,1,0,1,0,1,0,2
" ","Brøndby",1,3,1,3,3,0,0,1,1,2
" ","Gentofte",0,0,0,0,2,1,1,0,1,0
" ","Gladsaxe",0,1,2,2,1,0,1,2,1,2
" ","Glostrup",0,1,0,3,0,0,0,0,0,0
" ","Herlev",1,0,0,3,0,0,0,1,1,1
" ","Hvidovre",1,1,2,0,1,0,3,2,3,0
" ","Høje-Taastrup",0,0,1,1,1,0,1,5,1,1
" ","Ishøj",1,1,0,0,1,0,1,0,0,0
" ","Lyngby-Taarbæk",0,1,0,0,1,0,1,1,2,0
" ","Rødovre",1,1,3,1,1,1,0,2,3,1
" ","Vallensbæk",0,0,0,1,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,1,0
" ","Egedal",1,0,0,1,1,1,1,0,0,0
" ","Fredensborg",2,2,1,1,0,1,1,0,0,1
" ","Frederikssund",1,0,0,0,0,0,0,0,0,0
" ","Furesø",0,0,2,0,0,1,0,0,0,2
" ","Gribskov",2,0,2,0,0,1,1,0,1,0
" ","Halsnæs",0,1,1,1,1,0,0,2,2,0
" ","Helsingør",0,0,1,0,2,2,1,1,5,2
" ","Hillerød",0,0,1,0,0,0,1,1,2,2
" ","Hørsholm",0,2,0,1,0,0,0,0,0,0
" ","Rudersdal",0,1,0,1,1,1,0,0,1,0
" ","Bornholm",0,1,0,0,1,1,0,1,3,2
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",17,17,11,14,18,24,21,17,20,23
" ","Greve",0,2,0,1,1,0,2,0,2,2
" ","Køge",0,4,2,0,4,0,3,1,1,1
" ","Lejre",0,0,0,0,0,0,1,0,0,0
" ","Roskilde",0,0,1,0,1,2,1,0,0,3
" ","Solrød",0,0,0,0,0,1,1,0,0,0
" ","Faxe",1,0,2,0,2,3,0,2,0,1
" ","Guldborgsund",2,1,1,3,1,2,0,0,2,1
" ","Holbæk",2,4,0,0,1,5,0,0,1,2
" ","Kalundborg",2,0,2,0,1,2,0,1,1,1
" ","Lolland",1,1,2,2,0,2,3,6,0,1
" ","Næstved",4,1,0,4,1,2,2,0,2,3
" ","Odsherred",0,1,1,3,2,0,1,0,2,2
" ","Ringsted",3,0,0,1,2,0,0,1,3,1
" ","Slagelse",2,1,0,0,2,4,2,3,3,3
" ","Sorø",0,0,0,0,0,0,2,2,1,0
" ","Stevns",0,0,0,0,0,1,1,1,0,0
" ","Vordingborg",0,2,0,0,0,0,2,0,2,2
" ","Region Syddanmark",17,14,11,17,22,25,19,23,35,24
" ","Assens",0,1,1,0,0,0,0,1,1,1
" ","Faaborg-Midtfyn",0,0,0,1,0,1,0,0,2,5
" ","Kerteminde",1,0,0,0,0,0,0,1,0,1
" ","Langeland",0,0,0,1,0,0,0,0,1,0
" ","Middelfart",0,0,0,0,0,2,1,1,1,0
" ","Nordfyns",1,1,0,0,0,1,0,1,3,0
" ","Nyborg",0,0,0,2,0,0,0,0,2,0
" ","Odense",6,3,2,2,5,4,1,4,6,1
" ","Svendborg",0,1,0,1,0,2,0,3,0,1
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",1,0,1,0,2,0,1,0,0,1
" ","Esbjerg",0,3,1,1,2,4,5,3,1,5
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",1,1,0,1,1,1,2,1,2,1
" ","Haderslev",0,0,1,1,1,2,1,1,4,0
" ","Kolding",0,3,1,3,3,1,1,2,4,1
" ","Sønderborg",1,0,1,1,3,1,3,2,2,0
" ","Tønder",0,0,0,1,2,1,0,1,0,4
" ","Varde",1,0,1,0,1,1,1,0,0,1
" ","Vejen",1,0,1,0,0,1,1,1,1,0
" ","Vejle",3,0,1,2,1,2,0,1,5,2
" ","Aabenraa",1,1,0,0,1,1,2,0,0,0
" ","Region Midtjylland",18,17,17,14,17,18,13,24,29,19
" ","Favrskov",0,1,0,0,1,1,1,0,1,0
" ","Hedensted",0,2,0,0,1,1,0,2,0,0
" ","Horsens",0,0,0,1,1,1,1,2,0,0
" ","Norddjurs",0,1,1,0,0,0,0,2,1,1
" ","Odder",3,0,1,0,0,0,0,1,0,0
" ","Randers",2,0,3,1,1,1,1,3,0,2
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,1,2,3,1,0,2,1,1,2
" ","Skanderborg",0,1,0,0,1,1,0,0,0,0
" ","Syddjurs",0,1,0,2,0,0,0,2,2,1
" ","Aarhus",7,6,6,5,5,3,4,7,10,5
" ","Herning",1,1,1,0,1,0,1,0,4,2
" ","Holstebro",0,0,0,1,1,2,0,1,0,2
" ","Ikast-Brande",1,0,1,0,3,1,1,1,1,1
" ","Lemvig",0,1,1,0,0,0,0,0,1,0
" ","Ringkøbing-Skjern",1,0,0,1,0,1,0,0,3,0
" ","Skive",2,0,1,0,0,3,0,1,2,2
" ","Struer",0,0,0,0,0,0,0,1,0,0
" ","Viborg",1,2,0,0,1,3,2,0,3,1
" ","Region Nordjylland",5,5,7,7,10,13,7,8,10,8
" ","Brønderslev",0,0,0,0,1,0,0,0,0,0
" ","Frederikshavn",0,0,0,1,0,0,0,1,3,1
" ","Hjørring",0,1,2,0,1,0,1,0,1,0
" ","Jammerbugt",0,0,0,1,0,1,1,2,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",1,1,1,0,0,0,0,0,1,1
" ","Morsø",0,0,0,1,1,0,1,1,1,0
" ","Rebild",0,1,0,1,1,1,0,0,0,0
" ","Thisted",1,0,1,1,1,1,0,1,0,0
" ","Vesthimmerlands",0,0,0,1,2,0,1,0,0,1
