"Total";"Theft of other objects";265;313;274;271;246;256;282;320;336;354;318;297;259;202;179;189;183;166;162;161;140
"Total";"Larceny by finding";418;389;396;386;297;239;247;307;350;435;432;356;319;274;204;200;180;136;199;194;142
"Total";"Embezzlement";297;304;241;211;179;126;135;174;152;154;167;144;150;174;118;77;43;72;92;65;75
"Total";"Fraud";1422;1290;1093;1148;1074;720;802;850;1068;1133;1321;1513;1446;1399;1707;1289;955;1040;1282;1442;1347
"Total";"Fraud by cheque";101;67;46;37;28;16;20;24;28;28;17;13;9;4;2;0;0;0;0;0;0
"Total";"Fraud of agent";80;80;97;63;57;39;51;29;51;55;47;61;64;41;59;62;44;40;36;40;30
"Total";"Blackmail and usury";13;50;61;52;51;41;23;59;48;57;84;70;61;33;38;50;58;62;58;63;69
"Total";"Fraud against creditors";45;32;50;25;36;22;25;16;28;38;46;28;40;37;31;14;9;4;11;15;13
"Total";"Handling stolen goods";1209;1176;1143;1127;945;667;611;634;769;900;897;757;708;596;519;431;345;341;436;522;516
"Total";"Robbery";670;700;605;687;588;536;616;872;828;784;688;627;481;421;398;378;317;321;384;397;303
"Total";"Gross tax evasion, etc.";46;23;24;39;60;50;21;39;73;84;67;96;74;73;88;77;51;51;44;43;57
"Total";"Malicious damage to property";1963;1844;1890;2238;2185;1952;1768;1719;1777;1675;1664;1369;1251;1162;1085;897;944;921;1190;1065;1100
"Total";"Feloniously receiving stolen goods";86;100;80;70;57;31;42;34;40;53;46;27;29;37;16;14;6;6;6;6;4
"Total";"Misappropriations and offences against property";156;175;116;161;136;109;103;125;80;90;101;98;234;278;208;215;156;280;250;280;263
"Total";"Other offences, total";2191;2546;3099;3269;3018;2288;2365;2562;2979;3012;2966;2921;2716;2608;2434;2306;2273;2378;2893;2952;2993
"Total";"Offences against public authority, etc.";474;502;846;920;985;631;582;704;773;816;829;802;800;703;631;648;783;740;1043;1047;1110
"Total";"Offences by public servants";9;15;14;6;17;12;8;15;13;15;23;15;21;20;20;37;15;29;23;46;27
"Total";"Perjury";66;49;76;70;83;64;35;30;34;55;66;49;45;43;49;23;20;16;24;19;9
"Total";"Perjury, other";504;610;621;676;552;360;442;411;550;512;518;510;449;455;429;386;304;261;283;330;330
"Total";"Offences concerning money and evidence";89;116;196;181;131;133;95;94;137;149;177;145;160;127;111;128;91;122;101;94;150
"Total";"Trafficking of drugs, etc.";300;395;491;539;472;404;442;414;490;574;474;507;506;592;525;428;438;453;511;502;533
"Total";"Smuggling, etc. of drugs";104;106;132;119;136;184;101;83;113;88;137;116;60;78;58;49;58;90;127;169;98
"Total";"General public offences";3;14;21;12;12;15;59;189;336;234;189;190;114;104;143;165;166;143;141;127;118
"Total";"Illegal trade, etc.";30;21;18;13;12;30;3;6;8;4;7;8;2;4;3;1;3;0;1;0;0
"Total";"Family relation offences";19;22;15;14;24;9;13;7;9;18;18;8;14;17;13;11;9;11;12;15;7
"Total";"Homicide by negligence in traffic accidents";236;229;176;166;150;42;59;61;67;51;140;139;134;104;115;123;129;122;154;133;120
"Total";"Warnings";145;160;153;159;134;116;118;101;118;97;58;89;63;1;1;2;0;0;0;0;0
"Total";"Privacy infringement, defamation";212;307;340;394;310;288;408;447;331;399;330;343;348;360;336;305;257;391;473;470;491
"Total";"Trafic law, total";86180;70855;100005;120433;109210;94815;93887;97243;100512;102213;106915;108569;105758;101245;98963;93819;90320;96416;123924;118694;102598
"Total";"Traffic acc., unspecified";0;0;0;0;0;5;9;14;14;27;31;42;43;21;48;23;22;10;23;29;29
"Total";"Traffic acc. under influence of alcohol";1781;1812;1716;1398;1127;1252;1245;1259;1179;1069;1145;1009;936;867;853;798;732;751;810;832;813
"Total";"Drunken driving";8135;8958;9919;9668;8832;6650;6866;6944;7033;7048;8391;7536;6970;6309;5592;4478;6239;6243;6246;5554;5595
"Total";"Vehicle defect offences";2494;3959;7419;6907;5979;4668;4491;6252;5465;6382;6046;3920;3697;2676;1929;2166;1918;2637;3198;3216;2712
"Total";"Road Traffic Act, other";73770;56126;80951;102460;93272;82240;81276;82774;86821;87687;91302;96062;94112;91372;90541;86354;81409;86775;113647;109063;93449
"Total";"Special laws, total";12676;12488;18016;21486;22463;17880;18088;19913;21536;31926;37545;36222;43442;42606;41655;39098;43217;51127;41000;39548;48941
"Total";"Euphoriants Act";5696;5870;7277;9594;10488;8263;9088;9374;9280;10800;11919;11885;13224;11446;9891;9383;12233;13457;12028;10483;11278
"Total";"Firearms Act";1553;1820;2228;2342;2331;1900;1917;2269;1984;1986;1837;1874;1872;1800;1972;2200;3660;6570;4353;3261;2333
"Total";"Income Tax And Fiscal Acts";330;251;244;273;312;259;196;189;285;423;959;1599;1638;1173;964;965;1050;1318;1972;2048;1838
"Total";"Other special laws.";1330;967;2775;3225;2991;2362;2001;2281;2928;10022;13070;11847;17684;20486;19448;16321;16148;19720;12596;13713;22703
"Total";"Health and social security legislation";401;321;510;559;410;366;515;570;624;645;567;453;401;367;383;476;587;610;1761;3945;1158
"Total";"Building and housing legislation";43;42;35;37;43;20;27;35;34;33;34;32;37;29;30;27;12;18;25;29;36
"Total";"Environmental Act";754;807;778;860;811;545;537;687;803;1012;1104;1057;1182;962;754;677;1216;1250;1612;1625;1829
