"Year";"Population"
2009; 4799252
2010; 4858199
2011; 4858199
2012; 4920305
2013; 4985870
2014; 5051275
2015; 5109056
2016; 5165802
2017; 5213985
2018; 5258317
2019; 5295619
2020; 5328212
2021; 5367580
2022; 5391369
2023; 5425270
